epoch,loss,val_loss
0,2244452.25,2238989.25
1,2239130.0,2232099.75
2,2233749.5,2228339.25
3,2228343.75,2223339.5
4,2222594.75,2218306.0
5,2217506.75,2213496.25
6,2211202.75,2206631.0
7,2205217.5,2200932.75
8,2199501.25,2195505.5
9,2191895.25,2187699.5
10,2185597.0,2182779.25
11,2177935.75,2174576.75
12,2170470.25,2165958.5
13,2162579.25,2160364.25
14,2153695.75,2151681.25
15,2144929.0,2141182.0
16,2136437.0,2134083.25
17,2127265.0,2125434.0
18,2117422.25,2115212.25
19,2105723.5,2107336.25
20,2093872.75,2097962.75
21,2082779.875,2084007.5
22,2069869.5,2073937.25
23,2058190.125,2062607.0
24,2045125.25,2044710.625
25,2030319.0,2034879.375
26,2016418.75,2029342.625
27,2002280.75,2013073.5
28,1986810.625,1991827.875
29,1973031.625,1974712.375
30,1952762.5,1971206.75
31,1936319.25,1956975.375
32,1918872.875,1929289.125
33,1901873.0,1920600.5
34,1882664.75,1901174.75
35,1862515.375,1880021.125
36,1839579.625,1866700.875
37,1817370.75,1842534.0
38,1796146.375,1823167.875
39,1778341.375,1807880.375
40,1749894.75,1777184.125
41,1725836.625,1763026.0
42,1700176.625,1752636.625
43,1670705.25,1710141.0
44,1651554.875,1693245.0
45,1626637.75,1661947.375
46,1589219.25,1637993.5
47,1564953.25,1612662.875
48,1529132.875,1587659.125
49,1502704.75,1574822.0
50,1468926.75,1552774.375
51,1439520.625,1513326.5
52,1407437.125,1482693.375
53,1379070.625,1458869.375
54,1346790.0,1438734.5
55,1314423.75,1392949.75
56,1279791.25,1354747.75
57,1241516.0,1336957.625
58,1211615.625,1304740.875
59,1173980.375,1283908.0
60,1140000.5,1240180.625
61,1098725.125,1210918.625
62,1065252.875,1159384.375
63,1029962.5625,1153636.875
64,998914.125,1109164.875
65,958219.9375,1075223.75
66,919533.625,1067245.625
67,885869.6875,1020253.625
68,858454.75,972393.0
69,824696.8125,939722.4375
70,795401.0,918399.0
71,751542.9375,882308.375
72,728741.5625,835113.375
73,697852.375,819869.8125
74,671922.9375,785232.4375
75,637785.5625,741502.9375
76,614085.8125,713676.4375
77,589287.1875,707661.5625
78,549198.875,684078.6875
79,520461.84375,652238.3125
80,502548.4375,621759.1875
81,486383.6875,621309.5625
82,474054.125,599400.8125
83,447463.34375,537733.8125
84,423214.84375,522408.03125
85,403944.75,515980.21875
86,394565.90625,485926.15625
87,386943.28125,491281.6875
88,368743.125,471544.46875
89,357294.9375,461279.53125
90,351626.84375,439982.0
91,330122.21875,424780.65625
92,324715.3125,382890.9375
93,320856.09375,388533.71875
94,311981.75,389661.28125
95,310332.90625,391122.9375
96,308323.34375,354474.21875
97,293091.3125,350717.3125
98,272514.84375,330912.28125
99,273154.5625,323203.0
