epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.2095073,0.6031481,3.5275486,3.4849405,0.7852904,1.7930909,0.72501546,0.6737515,0.7085223,0.7390846,0.71555406,0.701359,0.7373778,0.66650903,40.3280086517334,1.8050807,4.431942,2.9337127,4.3100805,3.0361829,1.645108,3.299986,1.7952164,1.2254891,0.6132202,3.3100433,3.4201174,0.51431674,1.6995432,0.49466473,0.6402627,0.6698389,0.69780296,0.690661,0.37777892,0.65314215,0.58672047,38.19163131713867,1.6749196,4.381095,2.9243495,4.2629213,2.9649777,1.5208637,3.1070106,1.761894
1,1.2105701,0.5975654,3.214995,3.3747306,0.45319206,1.6653396,0.4363293,0.6339336,0.6688771,0.6940877,0.6875683,0.32735097,0.58732224,0.53954035,37.37861442565918,1.6251106,4.3322535,2.9054549,4.2407985,2.9069378,1.4901057,3.0376167,1.7489321,1.26651,0.574484,2.9127424,3.2203372,0.28377724,1.5558686,0.27622983,0.62198824,0.66262895,0.6866246,0.6854817,0.20567273,0.37590313,0.40056193,35.028751373291016,1.4570738,4.1686487,2.8392973,4.1668344,2.7281268,1.4071832,2.836535,1.6962396
2,1.255855,0.55893105,2.793931,3.1597822,0.23890921,1.5274159,0.23525709,0.61988765,0.66369474,0.6847668,0.6917652,0.17814788,0.31668055,0.36526853,34.23411560058594,1.3993315,4.1039176,2.8168426,4.1390333,2.6610084,1.3796563,2.7591352,1.6848979,1.3135949,0.5477528,2.4477727,2.9833388,0.12400082,1.4606806,0.13878125,0.615039,0.6576873,0.6847349,0.7087115,0.111721136,0.1708438,0.29823056,32.21138000488281,1.2335633,3.9099772,2.761975,4.053683,2.4958367,1.3056309,2.5399337,1.6478906
3,1.2993608,0.5382112,2.3303568,2.9221888,0.100460544,1.4478384,0.11889301,0.6150373,0.65491354,0.6888764,0.7088022,0.09652135,0.14309293,0.2878654,31.57134246826172,1.1858392,3.8387873,2.7464201,4.0231285,2.4430966,1.2845235,2.4574568,1.6396723,1.3369577,0.5377133,1.993272,2.7529151,0.048399344,1.4154447,0.0767927,0.61349225,0.65153205,0.68707484,0.7064167,0.05991604,0.07935935,0.28266394,29.973976135253906,1.0639024,3.626229,2.711549,3.9233124,2.324941,1.236146,2.2357829,1.6101615
4,1.3102973,0.5300305,1.8989708,2.6977243,0.039806522,1.4111478,0.069566,0.6143503,0.65128124,0.6903531,0.70393056,0.05265991,0.06843792,0.28501642,29.467548370361328,1.0361608,3.556655,2.7039733,3.8890533,2.2811399,1.2204673,2.15743,1.5990964,1.3106552,0.52489644,1.6600957,2.5690339,0.021846822,1.3942901,0.054890055,0.6040941,0.6461559,0.6881202,0.6963878,0.033324838,0.041319247,0.3019832,28.24004364013672,0.9610247,3.3540788,2.6824915,3.7733521,2.1976423,1.1974056,1.9638797,1.563077
5,1.2757556,0.5149151,1.6058118,2.5346892,0.019048758,1.3912206,0.052336972,0.59858733,0.6424402,0.6859355,0.6981942,0.030410163,0.03740117,0.30006486,27.851553916931152,0.9419052,3.295382,2.6791556,3.7381694,2.1678739,1.1858654,1.90639,1.5500011,1.2754397,0.5091236,1.48547,2.4650397,0.013350773,1.374106,0.048883185,0.5745236,0.62277097,0.6838335,0.70802087,0.020772545,0.024886934,0.3130467,27.03294563293457,0.8877164,3.1514778,2.6528528,3.6230776,2.1185465,1.1770059,1.7806644,1.5223343
6,1.2521453,0.5034876,1.4472499,2.4446273,0.012228439,1.373424,0.048121877,0.5612931,0.6138351,0.6806229,0.7084467,0.019973181,0.023781097,0.30739975,26.734079360961914,0.8653742,3.1095834,2.645134,3.5992403,2.0970845,1.1682205,1.7402267,1.5125785,1.2863795,0.5124975,1.3684367,2.4033413,0.0110176755,1.3554982,0.048493452,0.518579,0.57839674,0.667839,0.7004594,0.0153218685,0.01786525,0.3060961,26.12368392944336,0.79746944,3.0231333,2.609053,3.509015,2.0746353,1.1615831,1.6659364,1.4926385
7,1.2678335,0.5077595,1.3301861,2.382012,0.01046043,1.3529875,0.048128553,0.4972677,0.5603155,0.66428566,0.69606054,0.01586613,0.018337019,0.2980724,25.807775497436523,0.767378,2.995089,2.594604,3.5014625,2.0438395,1.148514,1.6345346,1.4727807,1.2949284,0.51020694,1.2377329,2.3348484,0.011083934,1.3275547,0.048756737,0.43654457,0.51373094,0.64209074,0.6795851,0.014851282,0.016346898,0.29223198,25.084537506103516,0.6734488,2.9341762,2.5352018,3.444868,2.0068967,1.1199148,1.5846168,1.424919
8,1.2667629,0.4996377,1.1914525,2.308465,0.011426049,1.3205938,0.04848659,0.41596025,0.49475667,0.6387527,0.67447305,0.016669454,0.018156914,0.28573114,24.742382049560547,0.64135915,2.903876,2.5269775,3.441451,1.9764256,1.099715,1.558913,1.4023384,1.2686719,0.4853291,1.094847,2.2626433,0.015442291,1.2892145,0.053127456,0.35872856,0.44913563,0.6089587,0.6633995,0.022118248,0.02164955,0.28611332,24.038257598876953,0.5481736,2.8620565,2.4715326,3.4018157,1.9314946,1.0600512,1.5349587,1.3487965
9,1.239501,0.4735142,1.06811,2.2514827,0.019199051,1.282721,0.05795922,0.3417086,0.43860352,0.59933174,0.65827453,0.029213201,0.02708475,0.28986228,23.829702377319336,0.5258701,2.8461785,2.4593856,3.404254,1.9114032,1.0400891,1.5329282,1.3330302,1.2456753,0.46342888,1.0391611,2.2219267,0.031934753,1.2723422,0.07554449,0.31332478,0.4217098,0.56395763,0.64738345,0.047375686,0.040662576,0.31261608,23.551143646240234,0.48305386,2.832191,2.425129,3.3840528,1.8850676,0.99943835,1.547123,1.2980443
