epoch,loss,val_loss
0,14776767.0,14762700.0
1,14765172.0,14752024.0
2,14753845.0,14740313.0
3,14742121.0,14730263.0
4,14730744.0,14718336.0
5,14718708.0,14703296.0
6,14706671.0,14690737.0
7,14692866.0,14676608.0
8,14679510.0,14667135.0
9,14665484.0,14646345.0
10,14650823.0,14630084.0
11,14634356.0,14618748.0
12,14617395.0,14597643.0
13,14601075.0,14580309.0
14,14582671.0,14560040.0
15,14565269.0,14541546.0
16,14544855.0,14518457.0
17,14521361.0,14505656.0
18,14501766.0,14486132.0
19,14478766.0,14450528.0
20,14457066.0,14429516.0
21,14431906.0,14403397.0
22,14405302.0,14374383.0
23,14377214.0,14347360.0
24,14350092.0,14322784.0
25,14319064.0,14278923.0
26,14287378.0,14270578.0
27,14255078.0,14221698.0
28,14222581.0,14188615.0
29,14189957.0,14160266.0
30,14151119.0,14126761.0
31,14116007.0,14096766.0
32,14073020.0,14046918.0
33,14033161.0,14009903.0
34,13991788.0,13962499.0
35,13949962.0,13895372.0
36,13902039.0,13869993.0
37,13858791.0,13825719.0
38,13802412.0,13774690.0
39,13753244.0,13715817.0
40,13701714.0,13671416.0
41,13645117.0,13617177.0
42,13583277.0,13551400.0
43,13525578.0,13511065.0
44,13454954.0,13446336.0
45,13400366.0,13390736.0
46,13341598.0,13286788.0
47,13263410.0,13231312.0
48,13191996.0,13160343.0
49,13110462.0,13085191.0
50,13055191.0,13062468.0
51,12970580.0,12978574.0
52,12881570.0,12891477.0
53,12792280.0,12816280.0
54,12710695.0,12704056.0
55,12634976.0,12660624.0
56,12547596.0,12530945.0
57,12445907.0,12493727.0
58,12359336.0,12373812.0
59,12269362.0,12278466.0
60,12157593.0,12212458.0
61,12045752.0,12017519.0
62,11951667.0,12008844.0
63,11843606.0,11839447.0
64,11724976.0,11766160.0
65,11612130.0,11681436.0
66,11488443.0,11587833.0
67,11368827.0,11449095.0
68,11269326.0,11338236.0
69,11133161.0,11182794.0
70,10995186.0,11196278.0
71,10891782.0,10949389.0
72,10754940.0,10800345.0
73,10613470.0,10764924.0
74,10485041.0,10536290.0
75,10357076.0,10437725.0
76,10185959.0,10302551.0
77,10051913.0,10271881.0
78,9922201.0,10041928.0
79,9766174.0,9918401.0
80,9651583.0,9803371.0
81,9496947.0,9636281.0
82,9350279.0,9561541.0
83,9165265.0,9405849.0
84,9038193.0,9201903.0
85,8874475.0,9112835.0
86,8691963.0,8990543.0
87,8551579.0,8828613.0
88,8408354.0,8719961.0
89,8265984.0,8520333.0
90,8102025.0,8443295.0
91,7948313.0,8212038.0
92,7789980.5,8038911.0
93,7660246.5,7932514.0
94,7456027.0,7783115.5
95,7321403.5,7659376.0
96,7207898.5,7492662.5
97,7035469.0,7443199.0
98,6844683.0,7280453.5
99,6660610.0,7064126.5
