epoch,loss,val_loss
0,4135101.5,4128670.75
1,4128126.75,4120487.0
2,4121294.75,4115970.75
3,4114971.25,4109893.5
4,4107681.25,4102338.5
5,4101165.0,4096368.25
6,4093301.75,4088080.5
7,4085445.5,4082737.25
8,4078020.5,4074323.5
9,4069299.25,4063969.25
10,4060820.5,4056470.0
11,4051668.0,4049377.5
12,4042564.25,4039022.0
13,4031636.5,4031669.5
14,4020147.5,4018834.5
15,4009681.0,4009387.0
16,3997836.25,3995909.25
17,3985370.0,3987801.75
18,3974139.25,3976960.75
19,3959036.5,3965370.0
20,3945249.75,3953443.5
21,3929175.25,3941672.25
22,3914173.25,3921707.25
23,3900027.0,3900575.0
24,3883077.0,3885225.75
25,3867028.75,3882257.5
26,3845435.75,3867301.75
27,3827710.5,3845382.5
28,3808989.5,3814015.75
29,3787498.75,3805293.0
30,3762034.5,3786568.0
31,3744341.0,3770709.25
32,3721569.75,3748902.25
33,3693932.0,3730708.0
34,3677280.0,3706628.0
35,3644654.5,3680791.75
36,3618383.75,3661431.75
37,3589560.25,3642282.75
38,3560552.25,3612626.5
39,3533093.0,3604014.0
40,3506530.5,3549586.75
41,3462883.0,3528372.0
42,3441385.5,3522196.5
43,3400931.5,3460495.0
44,3368253.75,3439062.75
45,3332223.5,3409216.0
46,3287909.75,3372085.5
47,3252406.25,3352888.5
48,3217940.75,3294652.0
49,3165277.75,3266844.75
50,3124712.5,3220230.75
51,3074373.0,3218533.75
52,3041459.5,3171493.25
53,2991359.5,3121758.5
54,2944581.25,3089638.25
55,2906021.25,3028950.5
56,2848634.0,3000173.0
57,2807734.5,2963367.75
58,2760312.0,2940046.75
59,2697437.5,2891129.0
60,2659434.5,2799219.75
61,2602165.0,2786625.75
62,2548120.0,2711098.75
63,2493862.0,2676393.5
64,2429351.0,2639922.75
65,2371770.0,2600466.25
66,2323801.25,2537072.0
67,2253305.5,2505741.5
68,2220309.75,2426411.5
69,2158664.75,2366575.75
70,2095864.875,2366112.75
71,2044565.875,2267719.25
72,1990129.75,2251904.0
73,1919867.0,2197383.0
74,1884011.125,2150986.0
75,1818005.375,2082176.75
76,1759848.75,2013978.75
77,1729613.375,2000245.625
78,1651612.0,1938027.625
79,1585914.0,1885967.375
80,1543264.5,1876865.375
81,1499117.625,1790501.875
82,1450669.0,1774038.25
83,1396513.5,1687233.25
84,1356424.75,1640453.0
85,1302639.125,1650559.75
86,1270567.5,1544417.625
87,1232765.5,1482526.75
88,1171118.375,1499179.875
89,1144496.125,1427348.875
90,1116233.875,1400083.0
91,1054421.25,1376920.875
92,1050601.75,1277786.375
93,990432.4375,1261061.125
94,974379.125,1250268.0
95,933918.8125,1213676.375
96,920953.9375,1172644.75
97,887036.875,1143342.875
98,844203.3125,1119071.875
99,826192.125,1077258.625
