epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1893373,0.6084107,3.4629574,3.5500286,0.7105479,1.8289093,0.69410896,0.6597636,0.71253264,0.6977792,0.72138166,0.7083084,0.80728465,0.63391304,40.22813034057617,1.8012923,4.4449644,2.9350734,4.2947454,3.0883005,1.5831788,3.259667,1.8356495,1.2129956,0.5856792,3.3275473,3.5271182,0.5565834,1.7883873,0.5345861,0.6110621,0.6879889,0.66100734,0.68199027,0.5336857,0.71984667,0.5295108,38.40730285644531,1.542573,4.3781457,2.874137,4.222402,3.033564,1.4824302,3.134938,1.781128
1,1.1949084,0.5705108,3.228197,3.516055,0.49016815,1.7599208,0.47979116,0.61589956,0.6854774,0.66303027,0.6720714,0.4886206,0.65714407,0.48965913,37.58925437927246,1.4800608,4.3302727,2.8421798,4.1779723,3.005733,1.4373623,3.0472972,1.7569233,1.234503,0.5465306,2.887656,3.462052,0.30020878,1.6616893,0.31620166,0.6478299,0.68249583,0.6632255,0.6643925,0.34826952,0.4420493,0.3831053,35.18072509765625,1.3041439,4.1730714,2.742057,4.04196,2.904505,1.3128664,2.7702422,1.6916696
2,1.2165585,0.5335991,2.7555861,3.43536,0.2523469,1.6259772,0.26991394,0.6621513,0.68180513,0.6649888,0.674804,0.30436736,0.37692693,0.35789907,34.36614227294922,1.2484417,4.112955,2.7247505,3.995678,2.8523955,1.2783618,2.672667,1.668609,1.2527217,0.51719326,2.3714333,3.3301044,0.13973927,1.524093,0.15701136,0.68373233,0.6787444,0.6623043,0.70268947,0.19035292,0.2122057,0.30833513,32.20256042480469,1.100808,3.9209766,2.6653986,3.8606224,2.6844778,1.1996518,2.4134696,1.6264973
3,1.2289064,0.50947434,2.2449214,3.285801,0.11741695,1.4986554,0.13399887,0.6802665,0.67471564,0.6629493,0.7022034,0.16455558,0.17959023,0.29921487,31.525930404663086,1.068013,3.8527179,2.6621969,3.8214326,2.6161032,1.1794527,2.3369756,1.60637,1.25649,0.5124762,1.9119351,3.1246533,0.06778525,1.426656,0.08450367,0.652831,0.6641179,0.656101,0.7020217,0.09945406,0.10017954,0.28708133,29.811309814453125,0.9921537,3.6513,2.6310568,3.6998937,2.420057,1.1484979,2.1459267,1.5761358
4,1.2353504,0.50836176,1.8147752,3.0660734,0.057952743,1.4124391,0.07515383,0.640185,0.6618941,0.65436864,0.6971979,0.08600571,0.08607027,0.28473893,29.291068077087402,0.98064786,3.5778518,2.6388412,3.6687906,2.352204,1.1363074,2.0934591,1.5623994,1.2660359,0.52240455,1.5977882,2.8832803,0.036627494,1.3854259,0.058173586,0.59992176,0.65484786,0.647485,0.689611,0.053528138,0.051419083,0.2870579,28.089889526367188,0.950881,3.3859882,2.624457,3.5745392,2.189001,1.1264169,1.962659,1.5423397
5,1.245717,0.5176084,1.5321417,2.8221142,0.03251487,1.3827679,0.05531399,0.58816856,0.6513618,0.6425146,0.6919485,0.04735379,0.04504837,0.28614652,27.71753215789795,0.93890244,3.3171058,2.6345081,3.5560179,2.1426754,1.1186798,1.9307047,1.5382162,1.2812883,0.5340287,1.3887453,2.6596751,0.023626016,1.3722311,0.049989216,0.5583573,0.6362073,0.62093097,0.6995961,0.03109876,0.028803425,0.2917524,26.876737594604492,0.88450253,3.1489837,2.6269834,3.5003383,2.0573092,1.1050421,1.8465734,1.5306754
6,1.2583256,0.5295401,1.3378494,2.6191707,0.021498535,1.3711677,0.04907666,0.5504532,0.6276996,0.6108899,0.69891477,0.02849026,0.026551347,0.28795052,26.564824104309082,0.86164886,3.097868,2.6311803,3.503055,2.0269394,1.0810281,1.8193064,1.5262222,1.2824687,0.5391441,1.2217531,2.5137022,0.018312702,1.3472089,0.047031175,0.5169186,0.5976424,0.5700351,0.68504584,0.021270994,0.018996775,0.28844544,25.806053161621094,0.78559357,2.9748776,2.608848,3.475665,1.9866542,1.0432469,1.7566344,1.5065558
7,1.2553306,0.53458744,1.1787035,2.4822674,0.017410932,1.3432395,0.0463222,0.50027305,0.5844166,0.5596256,0.6779567,0.021039061,0.018876517,0.28164563,25.496296882629395,0.76202357,2.9360793,2.6065094,3.4788241,1.9599128,1.016285,1.7376149,1.4973545,1.2638958,0.5321063,1.0955487,2.4149427,0.017166853,1.3187587,0.045517445,0.4489637,0.5515564,0.5130147,0.65596086,0.01899262,0.016029237,0.27887,24.765762329101562,0.6824578,2.8500352,2.5697746,3.458622,1.9166154,0.95994675,1.6936564,1.4633293
8,1.235012,0.5240392,1.0661864,2.3888032,0.01748471,1.3095636,0.045389675,0.43342164,0.5372622,0.4996106,0.6483827,0.020303875,0.017223269,0.27275568,24.456517219543457,0.65977514,2.820837,2.566996,3.4582086,1.8807181,0.92738384,1.6778865,1.4492731,1.2439041,0.52017504,1.0138658,2.337144,0.020105258,1.2954767,0.047579296,0.38269317,0.50654775,0.44654033,0.62358624,0.022684371,0.018299483,0.2727488,23.78997230529785,0.5793979,2.7567577,2.5276659,3.425068,1.8231558,0.86403465,1.6438512,1.4186896
9,1.2183084,0.511734,0.989076,2.3126647,0.021082226,1.2968326,0.047652625,0.37436208,0.5023564,0.43571997,0.616902,0.024955884,0.020452354,0.26939902,23.542319297790527,0.5538261,2.7279296,2.5254147,3.4253142,1.7881018,0.83423865,1.6361958,1.4098008,1.2343577,0.5141053,0.948,2.2596548,0.02707047,1.2924067,0.052288875,0.35222653,0.49244818,0.39050105,0.5927611,0.030500656,0.025548358,0.27384803,23.049837112426758,0.49713922,2.6703372,2.4888916,3.39902,1.7268336,0.77194893,1.6172099,1.3927394
