epoch,loss,val_loss
0,42305.6171875,41967.77734375
1,41930.3125,41546.41796875
2,41567.3671875,41253.921875
3,41197.09765625,40874.8671875
4,40813.15625,40451.55859375
5,40431.05859375,40024.2109375
6,40030.34765625,39624.8984375
7,39592.45703125,39153.53125
8,39203.9609375,38752.234375
9,38767.19140625,38235.9765625
10,38308.7734375,37780.57421875
11,37839.375,37319.30078125
12,37297.1484375,36703.61328125
13,36745.73046875,36334.87890625
14,36267.83984375,35694.42578125
15,35698.1015625,35188.703125
16,35072.2421875,34580.69921875
17,34445.07421875,34149.40234375
18,33885.734375,33396.7734375
19,33215.27734375,32818.19921875
20,32610.853515625,32005.26171875
21,31866.673828125,31236.8359375
22,31208.568359375,30720.96484375
23,30492.552734375,30103.60546875
24,29804.490234375,29462.484375
25,28995.994140625,28455.65625
26,28155.1875,27865.140625
27,27347.71875,26818.220703125
28,26601.150390625,26128.283203125
29,25705.685546875,25409.171875
30,24896.623046875,24529.701171875
31,24116.34765625,23939.076171875
32,23179.396484375,22876.7265625
33,22321.412109375,22272.130859375
34,21469.2421875,21258.328125
35,20652.583984375,20420.90625
36,19711.47265625,19709.384765625
37,18947.90625,19041.962890625
38,18130.201171875,18085.7578125
39,17287.041015625,17074.380859375
40,16394.533203125,16722.251953125
41,15526.7919921875,16247.1171875
42,14714.39453125,15404.1865234375
43,14008.693359375,15026.79296875
44,13180.251953125,13583.052734375
45,12678.57421875,13837.259765625
46,11885.9833984375,12789.298828125
47,11175.759765625,12061.048828125
48,10793.4970703125,11421.8837890625
49,10269.673828125,11736.5166015625
50,9804.4140625,11228.732421875
51,9363.380859375,11016.9072265625
52,9117.4404296875,9943.712890625
53,8848.6064453125,11176.1396484375
54,8414.033203125,10529.16015625
55,8466.94140625,8599.2890625
56,8084.92578125,10880.029296875
57,7857.8603515625,11469.044921875
58,7400.9990234375,9838.4033203125
59,7625.14501953125,10003.08203125
60,7627.2646484375,7860.84619140625
61,7364.609375,12203.130859375
62,7349.9833984375,11174.4892578125
63,7113.3505859375,9801.0224609375
64,7092.39501953125,9646.708984375
65,7218.2294921875,9613.1611328125
66,6886.1279296875,11481.97265625
67,6948.64794921875,11145.853515625
68,6987.34521484375,12545.1376953125
69,6732.861328125,11000.6123046875
70,6985.0556640625,10211.0224609375
