epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1501011,0.54797965,3.5903716,3.5337996,0.71604145,1.834472,0.69341725,0.72646606,0.6978153,0.6939328,0.6829716,0.6915709,0.72402453,0.6918658,40.34707069396973,1.810375,4.4491205,2.9685445,4.3055468,3.053319,1.6186911,3.3421633,1.8244851,1.169104,0.5532909,3.4947925,3.5115721,0.63483536,1.8129758,0.6570028,0.6971457,0.6799136,0.69140536,0.6851395,0.6893218,0.64240026,0.66350293,39.766380310058594,1.8331182,4.418894,2.9404793,4.3000183,3.0090194,1.5718892,3.302216,1.8083442
1,1.149127,0.54719985,3.4669495,3.5043485,0.6133336,1.8064445,0.6486857,0.69019115,0.67570233,0.69071674,0.68720895,0.68839824,0.61863595,0.65516686,39.570425033569336,1.8378115,4.4119835,2.9324718,4.298733,2.9930193,1.5594523,3.2898211,1.8050225,1.1872623,0.55466783,3.3820822,3.4844255,0.55469745,1.7867967,0.61838317,0.66873115,0.6644788,0.6881819,0.6919274,0.6803859,0.5493677,0.62880504,39.10908126831055,1.8492413,4.3859262,2.9081411,4.295435,2.9514015,1.5329193,3.2510166,1.7948052
2,1.1702979,0.54679257,3.3560648,3.4780626,0.5391327,1.7826173,0.60813576,0.6636046,0.6618613,0.6886102,0.69456005,0.6742743,0.52868104,0.61978614,38.92033767700195,1.8489604,4.3776836,2.9015927,4.293809,2.9336724,1.5202687,3.2374933,1.7943767,1.2135092,0.5513672,3.2801838,3.4555728,0.4958586,1.7635916,0.5741762,0.65070546,0.6553503,0.68484133,0.6998124,0.6489765,0.47065935,0.5904514,38.45390701293945,1.8386936,4.3486643,2.878103,4.2853065,2.8857963,1.5045694,3.1897984,1.7879221
3,1.1963744,0.542645,3.2564878,3.4467387,0.48553678,1.7579905,0.56270933,0.6478144,0.65327114,0.6847707,0.7019782,0.6390929,0.4529162,0.5811194,38.255584716796875,1.8310006,4.339225,2.871663,4.2805004,2.8677557,1.4957668,3.1718526,1.7883782,1.2354856,0.5430331,3.185435,3.4239175,0.45152768,1.7369195,0.5233224,0.63969475,0.6485843,0.68207705,0.7081508,0.60029495,0.4043741,0.5503603,37.75949478149414,1.8008633,4.3047876,2.8471518,4.266948,2.8155537,1.486626,3.1201901,1.7841938
4,1.216087,0.5343316,3.1601763,3.4119089,0.44243312,1.7303438,0.51041174,0.6381306,0.6486131,0.6809182,0.71037173,0.5861913,0.38942719,0.5393385,37.53765869140625,1.7833312,4.2932425,2.8412275,4.26143,2.7952929,1.4786468,3.101632,1.7841712,1.2487892,0.5336729,3.0903127,3.385194,0.41361496,1.7071207,0.46645394,0.6330735,0.64598846,0.67967856,0.717688,0.53859645,0.3476424,0.5086526,37.001373291015625,1.7345002,4.2527337,2.816179,4.2416325,2.7430744,1.4734166,3.046283,1.7770773
5,1.228759,0.52353156,3.0652804,3.3747663,0.40556514,1.7010119,0.45373338,0.6328313,0.6454401,0.67825025,0.71750945,0.5232933,0.33422634,0.49694294,36.77000045776367,1.7172259,4.2389545,2.8105783,4.234893,2.7232409,1.4644039,3.0229363,1.7766285,1.2546966,0.5214951,2.9954195,3.3445833,0.37865222,1.6768306,0.41096905,0.628431,0.6422329,0.6770322,0.72158676,0.47433287,0.29793003,0.46633112,36.2077522277832,1.6579274,4.1947765,2.7854512,4.209207,2.6731546,1.4609468,2.9644918,1.771269
6,1.2329376,0.5107497,2.9712553,3.3293958,0.3706262,1.668432,0.3983418,0.6287929,0.64245284,0.67751944,0.7223638,0.45882973,0.28748024,0.45663512,35.96796226501465,1.6385452,4.178196,2.7806814,4.202899,2.6523976,1.4506503,2.94062,1.7681594,1.2566835,0.50814515,2.8987796,3.2983315,0.34564623,1.6422077,0.35846406,0.6250672,0.6392183,0.6737484,0.7232625,0.41260812,0.25655472,0.43022433,35.39848709106445,1.5785453,4.131467,2.7542634,4.1737757,2.6064334,1.447282,2.8771923,1.7605865
7,1.2343659,0.5003412,2.871419,3.2835011,0.33744133,1.633059,0.346416,0.6245794,0.63905185,0.6770603,0.7232186,0.39799857,0.2467002,0.42112565,35.1522331237793,1.5581689,4.112433,2.7514243,4.16469,2.5849576,1.4350592,2.8537621,1.7554628,1.256268,0.49693593,2.7938447,3.248359,0.31315503,1.6078851,0.31200054,0.6212907,0.63493574,0.674312,0.7239648,0.35564232,0.21972331,0.4000313,34.59041976928711,1.4995823,4.061881,2.7290537,4.132414,2.5438015,1.4313504,2.789286,1.7447
8,1.2326438,0.4892159,2.7650652,3.2319322,0.30505544,1.5982761,0.30244732,0.62007964,0.63376236,0.6756548,0.72223604,0.34280944,0.21217024,0.3917988,34.33336067199707,1.4779385,4.041947,2.724276,4.121802,2.5233188,1.4187715,2.7604694,1.7416881,1.2527486,0.48886663,2.6825514,3.1922743,0.28094268,1.5716976,0.27198288,0.6152015,0.6311415,0.6715229,0.7250431,0.3061186,0.18869288,0.37371892,33.772884368896484,1.4212308,3.98885,2.704687,4.0874653,2.483986,1.4128535,2.6948292,1.7264802
9,1.2289608,0.4813584,2.6519525,3.1754012,0.27347246,1.563909,0.26293144,0.61423886,0.62762904,0.6746528,0.7217586,0.29404378,0.18119052,0.36610496,33.516191482543945,1.403959,3.9670672,2.6998434,4.0745254,2.4652224,1.3984073,2.669459,1.720107,1.2483357,0.48314527,2.5626621,3.1329777,0.24986835,1.5378344,0.2377669,0.61117053,0.62091154,0.67034984,0.7201675,0.26214212,0.16107877,0.35211045,32.95283508300781,1.3519144,3.909731,2.6824102,4.034409,2.4277577,1.3924624,2.6000762,1.7035533
10,1.2253641,0.47509864,2.5331151,3.1176672,0.24285457,1.5299383,0.23083878,0.610513,0.62160313,0.6723814,0.7177682,0.2520866,0.15487504,0.3455922,32.71764373779297,1.3359933,3.8896687,2.679396,4.023156,2.4104953,1.3778411,2.5737205,1.6976779,1.2437809,0.47951162,2.4407303,3.0721984,0.22040823,1.5020337,0.2084796,0.6057285,0.61810094,0.6696243,0.7140733,0.22279222,0.13636166,0.33376086,32.166236877441406,1.2908357,3.8299446,2.6611588,3.9833403,2.37884,1.3702238,2.5034742,1.6808305
11,1.2200654,0.47257,2.4088151,3.052338,0.2137574,1.4967008,0.20145199,0.6041573,0.61484516,0.6709529,0.71402717,0.21502312,0.13113104,0.32825506,31.9187068939209,1.275477,3.8069358,2.6607785,3.9701366,2.3584566,1.3543136,2.475635,1.672883,1.2406574,0.47747025,2.3181999,3.004455,0.19335282,1.4737204,0.18427779,0.5986941,0.60877115,0.66883874,0.7107793,0.19097064,0.11573151,0.3186746,31.398149490356445,1.2342882,3.7483077,2.642616,3.9263923,2.3323689,1.3423806,2.411741,1.6554626
12,1.2170478,0.47059277,2.2856894,2.9851842,0.18738146,1.4668736,0.17763713,0.5966799,0.6085118,0.6691419,0.708212,0.1831145,0.11147541,0.3148864,31.153587341308594,1.2202835,3.7246459,2.6416042,3.9141972,2.3133368,1.3274941,2.379634,1.6499622,1.2360163,0.47683698,2.1986742,2.939836,0.16937344,1.4457693,0.16151153,0.59036356,0.60127616,0.666285,0.7070868,0.16186358,0.09752243,0.30898854,30.656240463256836,1.185206,3.6638849,2.6261568,3.8677223,2.290711,1.3134586,2.3159819,1.6317153
