epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.2026265,0.6277178,3.529783,3.421144,0.6185231,1.820185,0.6689196,0.72560596,0.7555084,0.6950354,0.710415,0.82193625,0.58501744,0.7021629,40.312965393066406,1.8017514,4.526265,3.0421288,4.342718,3.094996,1.4775319,3.2680664,1.8749323,1.2244581,0.5999991,3.408023,3.2968407,0.4244229,1.7379292,0.709071,0.72590214,0.7122703,0.67757285,0.697589,0.8306794,0.5260892,0.5540786,39.042728424072266,1.6434457,4.489559,2.9866967,4.3118587,3.0250134,1.3680602,3.2427561,1.850411
1,1.2042606,0.5901123,3.3659825,3.2583876,0.38078415,1.7105899,0.70660204,0.72377425,0.6995214,0.67579687,0.6969782,0.8207493,0.50795454,0.5181637,38.61763381958008,1.5981615,4.4753523,2.9707353,4.298554,2.9943564,1.3378785,3.2317357,1.8511992,1.242982,0.58532417,3.238124,3.149171,0.27315414,1.6249452,0.6635832,0.7154161,0.6645544,0.6658485,0.6912422,0.7690964,0.44926423,0.42663416,37.41381072998047,1.4800376,4.4312825,2.9154375,4.2645054,2.8969576,1.2629346,3.1697075,1.8336062
2,1.2235126,0.57946616,3.1904945,3.112865,0.24835974,1.6013701,0.6341013,0.71166956,0.65630686,0.667174,0.69237876,0.7398754,0.42682165,0.40387106,36.96795654296875,1.4445592,4.4122763,2.9023197,4.248204,2.857049,1.2409723,3.1392379,1.8350744,1.2630001,0.5858544,3.0506,3.0140924,0.1858225,1.5274776,0.5309914,0.6953858,0.64181364,0.6689156,0.6915134,0.64509374,0.35908037,0.35097343,35.75160217285156,1.3542123,4.352431,2.8513038,4.205357,2.7417455,1.1878213,3.033125,1.8149929
3,1.2410386,0.5805706,3.0005183,2.9779382,0.16985223,1.5094695,0.4933548,0.6882273,0.6388422,0.67399544,0.68967247,0.6097176,0.33573425,0.3374856,35.29805946350098,1.323274,4.3260365,2.8373454,4.1885552,2.6992028,1.1715529,2.9926958,1.8129792,1.2743497,0.5878089,2.8568246,2.8926256,0.13415378,1.4619569,0.38254163,0.6696602,0.6376613,0.67850995,0.690926,0.5038217,0.26951444,0.31081527,34.15941619873047,1.2493936,4.2487397,2.7947915,4.1391706,2.5837812,1.1425445,2.861372,1.7884523
4,1.2528722,0.58212155,2.804473,2.8613474,0.12410775,1.4533743,0.35064328,0.66500986,0.63734275,0.68250823,0.6902238,0.471946,0.24953197,0.30339426,33.75078010559082,1.2264299,4.2200503,2.7846203,4.118891,2.54179,1.1290333,2.8193476,1.7817234,1.2803184,0.58462316,2.6593783,2.7856283,0.10096516,1.4246927,0.2652559,0.65122133,0.6392896,0.68016195,0.69200647,0.37894076,0.19444771,0.29187903,32.7210807800293,1.1630074,4.129284,2.7462556,4.065165,2.440559,1.117937,2.6785371,1.7515266
5,1.2593751,0.57571316,2.603648,2.756391,0.09450364,1.421816,0.24294147,0.6483598,0.64010733,0.682907,0.6927463,0.3533282,0.17878848,0.2883039,32.348411560058594,1.1422341,4.096634,2.7369223,4.043804,2.4025037,1.1079723,2.6371608,1.7422534,1.2820436,0.56779057,2.4550004,2.6885288,0.07887435,1.4056553,0.18711776,0.63916516,0.6387636,0.67387307,0.6952597,0.28236648,0.13949455,0.286416,31.420778274536133,1.0873624,3.9944503,2.7030907,3.9842947,2.3193083,1.1026508,2.501853,1.7074192
6,1.2577131,0.5556272,2.3972392,2.6623898,0.07433754,1.4026195,0.17364907,0.6387626,0.6339561,0.6698065,0.6931653,0.26462618,0.12965019,0.2835991,31.067466735839844,1.07059,3.9541063,2.6974006,3.962616,2.288924,1.0967753,2.463378,1.6965344,1.2750405,0.5393793,2.2474186,2.602288,0.063206196,1.386536,0.13947019,0.62960094,0.62331915,0.6577936,0.69277555,0.21451768,0.102385074,0.2844286,30.207752227783203,1.0205249,3.844652,2.666836,3.8950243,2.228187,1.0915507,2.3441958,1.658621
7,1.2457814,0.5262127,2.19312,2.576803,0.059815105,1.3813946,0.13121632,0.62868154,0.61713904,0.65674305,0.69458497,0.2014313,0.09639293,0.28262722,29.877968788146973,1.0047135,3.8035188,2.664991,3.8748245,2.1985235,1.0782061,2.310896,1.6503539,1.2590711,0.5095645,2.046502,2.5232723,0.053193823,1.3628507,0.1105829,0.61876863,0.59825313,0.6430861,0.6895835,0.16666731,0.07885029,0.28747633,29.075237274169922,0.9546964,3.6884918,2.6383698,3.8095038,2.1486144,1.0632865,2.2085524,1.6159981
8,1.2313119,0.49750805,1.9902468,2.4978855,0.05145202,1.3606188,0.10563686,0.61480594,0.59137166,0.6385955,0.6866398,0.15944086,0.07509428,0.2837514,28.765538215637207,0.9412979,3.6471028,2.635899,3.7921405,2.1232567,1.0504304,2.1809916,1.6100621,1.2418298,0.48569018,1.8607258,2.4497147,0.04901627,1.3438604,0.09358557,0.59869015,0.5683267,0.6217662,0.68537223,0.13770966,0.063344926,0.29009235,28.048654556274414,0.89276874,3.533499,2.614199,3.7314258,2.0821443,1.0296482,2.0944417,1.5808015
9,1.2146103,0.47681242,1.8085278,2.4281874,0.0485812,1.3415384,0.08990726,0.5952103,0.55958664,0.61941606,0.6846247,0.13412423,0.06167614,0.28424308,27.761610984802246,0.8759208,3.4900734,2.6116736,3.7148552,2.058782,1.0138543,2.0717807,1.577624,1.2319938,0.47772506,1.6949745,2.3848624,0.0494103,1.3285599,0.08299679,0.5740988,0.5349233,0.6019954,0.6818753,0.12154027,0.05422029,0.2891747,27.143247604370117,0.8256499,3.3849187,2.58897,3.6606119,2.023489,0.9904243,2.0027554,1.5580746
