epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1634152,0.5496453,3.4261413,3.4528008,0.6227439,1.7528324,0.67766,0.6704947,0.68231547,0.7144345,0.73422575,0.667001,0.6503494,0.74297786,39.848012924194336,1.8044461,4.455557,2.9486976,4.3255415,3.0410676,1.6206173,3.3024554,1.8425925,1.1799048,0.5735852,3.2505715,3.3399866,0.45335928,1.678754,0.5469216,0.63558453,0.65579677,0.68316925,0.68842906,0.45409447,0.43158913,0.5979118,38.061798095703125,1.6704794,4.450371,2.9205973,4.281853,2.9631584,1.549678,3.2519588,1.8040463
1,1.162889,0.5592439,3.1477664,3.2788033,0.39439613,1.6360667,0.491309,0.63275313,0.65407974,0.676021,0.68010163,0.39181876,0.36559772,0.5639216,37.28179168701172,1.6198914,4.4199104,2.9019835,4.26188,2.9234421,1.5111578,3.2198863,1.788871,1.2175554,0.53223485,2.8099275,3.0887094,0.2333664,1.5100901,0.3305076,0.63075566,0.6470758,0.6543072,0.6676139,0.22507565,0.20211624,0.45992076,34.990631103515625,1.461787,4.2989893,2.837237,4.1817737,2.7815135,1.390794,3.0807772,1.748503
2,1.2085361,0.5109767,2.6813207,3.0291953,0.19642687,1.4827704,0.28887522,0.6328458,0.64761746,0.6511333,0.666253,0.18863022,0.17166543,0.4272017,34.2193603515625,1.4067599,4.2444315,2.8102446,4.146335,2.7214959,1.3527161,3.0266993,1.7272325,1.2544802,0.48035622,2.319397,2.862963,0.10839142,1.4101478,0.18776217,0.63681966,0.6475896,0.6315816,0.6685237,0.10294082,0.10020568,0.3422442,32.14883804321289,1.2563899,4.076227,2.733034,4.0286303,2.5364857,1.2561764,2.8355174,1.6729766
3,1.2352908,0.46878797,2.2007015,2.81329,0.09230712,1.4016778,0.16695079,0.63455284,0.6476571,0.62693524,0.66791844,0.0878419,0.088000596,0.32253283,31.50748920440674,1.2175035,4.015026,2.7090607,3.9868164,2.4720674,1.227185,2.7714782,1.6539073,1.2562122,0.46818617,1.8909928,2.6902285,0.055857323,1.372761,0.11551822,0.6237843,0.6427585,0.60346925,0.6615836,0.05120185,0.057002425,0.28705296,29.87448501586914,1.1169962,3.828728,2.6494553,3.8642414,2.2955346,1.1674275,2.567402,1.6080929
4,1.2304962,0.4645032,1.8006785,2.6580424,0.049135614,1.3681328,0.10412241,0.6193438,0.6362575,0.6004827,0.6601783,0.044962313,0.05140363,0.281533,29.3633975982666,1.0928044,3.7609456,2.630661,3.8234432,2.2407522,1.1483674,2.5061002,1.5910511,1.2331495,0.47899187,1.5892495,2.5866618,0.033968564,1.3431716,0.07947257,0.6065177,0.62015855,0.57391584,0.6530759,0.028578725,0.036184512,0.281664,28.146106719970703,1.027031,3.5639527,2.583788,3.7080998,2.1299553,1.1134315,2.314906,1.5601847
5,1.2054527,0.47483572,1.5297303,2.567755,0.030518156,1.3386704,0.0735258,0.60093963,0.60958654,0.5651527,0.6535748,0.025974965,0.033746544,0.27763748,27.738961219787598,1.0041624,3.491748,2.571769,3.67794,2.1010883,1.0981619,2.2547414,1.5522468,1.2179856,0.48336968,1.4004371,2.520142,0.023597097,1.3174175,0.062079385,0.57974327,0.5844443,0.537113,0.6429402,0.018076401,0.025078027,0.2873194,26.79452896118164,0.93974686,3.3040082,2.53126,3.5825317,2.0539324,1.0731446,2.0790536,1.5311093
6,1.1969379,0.47459668,1.3564181,2.497271,0.022227678,1.3177084,0.059710152,0.5717553,0.5713413,0.52330464,0.6394944,0.01751564,0.024677204,0.283347,26.423770904541016,0.9152765,3.2394376,2.52531,3.567463,2.0246277,1.0533786,2.0241709,1.517802,1.2271441,0.47007847,1.2589728,2.4277623,0.019863322,1.2993073,0.055450827,0.5353545,0.53133035,0.48849392,0.6253285,0.014092872,0.020125989,0.2874344,25.544994354248047,0.8416969,3.0848348,2.4916124,3.4971774,1.9814506,1.0192611,1.8760252,1.4921952
7,1.2059337,0.4600452,1.2172811,2.3958583,0.019076388,1.3020284,0.054696143,0.52140236,0.5132738,0.47552335,0.62264526,0.0145630855,0.020417552,0.28216857,25.203317642211914,0.81959367,3.033829,2.4919524,3.4917526,1.9467363,0.9943558,1.8377804,1.4824055,1.2282075,0.4522258,1.1409487,2.3125417,0.019639151,1.2785987,0.05383576,0.4777104,0.46551046,0.4366518,0.6062558,0.013631612,0.01910145,0.2814331,24.388341903686523,0.75288415,2.9177716,2.4610784,3.4444463,1.8791863,0.9413873,1.7463559,1.4589429
8,1.2053372,0.441684,1.1110772,2.282575,0.0199954,1.2757584,0.054151893,0.45998278,0.4499969,0.42752323,0.60059947,0.015004596,0.020694915,0.2767748,24.072169303894043,0.73051155,2.875422,2.458499,3.4449427,1.844461,0.9114605,1.7208993,1.4448166,1.2168229,0.43778098,1.0778587,2.2103505,0.022636622,1.2522545,0.05628194,0.41500443,0.41915587,0.39748213,0.5814731,0.01637684,0.022311201,0.28028247,23.430540084838867,0.6790111,2.7850983,2.424814,3.4133034,1.7837287,0.8450307,1.6780405,1.415442
9,1.1891804,0.42950052,1.0575511,2.186419,0.023446918,1.2505441,0.057110656,0.4032365,0.41199726,0.39325824,0.57730234,0.01851295,0.024515495,0.27873352,23.179429054260254,0.66195965,2.7496715,2.423346,3.4119687,1.7523918,0.8140384,1.6604149,1.4043299,1.2001314,0.43087745,1.0515732,2.1283221,0.026578281,1.2367152,0.061475493,0.378375,0.40463507,0.37128267,0.55497575,0.021046704,0.027343681,0.28798825,22.706544876098633,0.6297732,2.677905,2.3871667,3.3810325,1.7035899,0.75238836,1.6277707,1.3655969
