,Train,Val,Test,error val,error test
0,196.67430114746094,187.17799377441406,232.89715576171875,0.048284434304036505,0.18417685687922658
1,32180.962890625,36360.39453125,55642.125,0.12987279637436067,0.7290385371349388
2,24601.283203125,25919.798828125,42713.46875,0.05359540045588007,0.7362293014282395
3,2224.936279296875,2083.25390625,4844.72216796875,0.06367929471294764,1.177465580946786
4,5175.60595703125,6630.822265625,13161.712890625,0.28116829617154004,1.5430283912445715
5,755.1260986328125,731.1978759765625,1534.6494140625,0.031687717719693476,1.0323087982802437
6,168835.671875,190998.53125,305454.125,0.13126881972791038,0.8091800246226846
7,82446.671875,97612.984375,187010.78125,0.18395299840597712,1.2682635574851697
8,781555.125,1031280.6875,1281512.625,0.3195239267351744,0.6396957604238089
9,263909.6875,307417.46875,514481.4375,0.16485859864465935,0.949460220174752
