epoch,loss,val_loss
0,8465888.0,8460486.0
1,8459839.0,8454652.0
2,8453652.0,8449778.0
3,8447704.0,8444582.0
4,8441670.0,8437766.0
5,8435260.0,8432723.0
6,8428410.0,8425778.0
7,8421665.0,8419914.0
8,8414178.0,8414187.0
9,8406829.0,8406451.0
10,8398653.0,8398398.0
11,8390259.0,8391576.0
12,8382341.5,8381520.0
13,8372712.0,8373304.5
14,8363056.0,8365902.5
15,8352788.5,8357564.5
16,8342798.5,8343974.0
17,8330662.5,8337156.5
18,8319136.0,8325350.0
19,8308547.0,8315288.5
20,8294636.0,8302486.0
21,8280790.0,8291192.5
22,8267327.0,8278349.0
23,8252594.5,8269005.5
24,8236477.0,8249892.0
25,8221548.0,8237205.0
26,8204223.5,8220409.0
27,8188939.5,8211544.5
28,8170542.5,8188430.0
29,8151979.5,8173624.5
30,8129841.5,8149446.5
31,8107797.5,8133127.0
32,8092405.5,8113827.5
33,8066389.5,8092907.0
34,8043794.5,8079186.5
35,8021706.0,8054350.5
36,7994476.0,8027058.5
37,7970782.0,8006938.0
38,7941296.5,7979863.0
39,7916119.0,7959304.5
40,7889841.0,7925142.5
41,7860378.0,7909343.5
42,7823661.5,7883456.0
43,7796608.5,7835900.0
44,7758875.0,7818623.5
45,7725718.5,7787855.0
46,7687894.5,7748597.0
47,7652494.5,7726015.5
48,7613993.5,7679030.5
49,7573335.5,7640737.0
50,7530459.0,7614453.0
51,7486277.5,7577097.0
52,7440687.0,7540381.0
53,7400428.5,7486300.5
54,7351428.0,7480719.5
55,7300068.5,7405881.0
56,7251995.5,7361286.0
57,7207697.5,7332699.0
58,7149388.5,7260997.0
59,7093158.5,7225869.0
60,7038352.0,7168411.0
61,6982286.0,7102140.0
62,6924746.0,7079897.5
63,6868462.5,7013185.0
64,6793678.5,6962280.5
65,6748092.5,6894145.0
66,6675360.5,6848723.0
67,6605840.5,6789434.0
68,6550445.0,6725765.0
69,6474961.0,6660468.5
70,6407654.5,6599779.0
71,6325278.0,6529370.5
72,6254389.0,6466524.5
73,6192778.0,6413428.0
74,6102635.0,6316405.0
75,6029979.0,6277907.0
76,5929493.5,6221604.5
77,5864241.5,6099472.5
78,5787956.0,6056598.5
79,5699253.5,5948963.0
80,5615792.5,5903193.0
81,5522267.0,5815386.0
82,5436126.0,5721200.5
83,5357790.5,5651369.0
84,5278494.0,5572506.5
85,5167728.0,5479776.0
86,5077185.5,5421996.5
87,4981120.5,5326073.0
88,4900013.5,5196833.0
89,4809689.0,5145528.0
90,4704828.0,5083891.5
91,4610809.5,5028176.5
92,4499628.0,4892381.5
93,4447732.5,4817941.0
94,4332783.5,4669080.5
95,4228895.5,4650291.5
96,4136698.25,4524079.0
97,4046503.75,4447680.5
98,3936549.0,4354500.0
99,3846391.25,4315862.5
