epoch,loss,val_loss
0,1253176.0,1251026.75
1,1250175.5,1248126.75
2,1247301.625,1246322.25
3,1244414.125,1242731.5
4,1241373.875,1239680.25
5,1238521.25,1237105.5
6,1235086.375,1234040.375
7,1231886.25,1230172.375
8,1228864.5,1227096.0
9,1225123.5,1222515.75
10,1221268.375,1220251.375
11,1217381.75,1216438.875
12,1213673.25,1212114.125
13,1209634.0,1207675.875
14,1205327.875,1204154.875
15,1199863.25,1200372.5
16,1195015.875,1194360.875
17,1190534.375,1189953.875
18,1185440.375,1184828.5
19,1179802.875,1180231.875
20,1174015.625,1176009.125
21,1168164.375,1168973.75
22,1160930.0,1163325.0
23,1154756.125,1157335.125
24,1148064.25,1148901.0
25,1140444.625,1143768.75
26,1133700.5,1138892.125
27,1126266.5,1132459.625
28,1118283.25,1119358.5
29,1108149.375,1114764.0
30,1100385.125,1109292.0
31,1093117.125,1101456.0
32,1084208.5,1088294.75
33,1073844.125,1080584.875
34,1062937.375,1071712.125
35,1054493.875,1059363.375
36,1043140.1875,1055978.5
37,1029685.625,1045092.125
38,1020495.4375,1034982.9375
39,1008962.125,1024044.25
40,995669.5625,1010346.1875
41,982870.0625,1002306.8125
42,971525.4375,994109.3125
43,955984.375,974552.0625
44,942015.5625,965882.8125
45,929703.375,950328.9375
46,912751.5,942445.5625
47,900712.9375,918416.25
48,883988.3125,910285.6875
49,867548.0,896010.5
50,848840.6875,877732.8125
51,831700.375,864726.5
52,816966.5,846663.25
53,801453.0,839956.625
54,781020.8125,818368.625
55,762712.5,812322.125
56,746513.6875,793474.625
57,727788.8125,775630.625
58,714348.6875,755532.3125
59,691864.75,759608.1875
60,679227.0,733140.375
61,655082.0625,705111.75
62,636810.125,691623.4375
63,620434.0,663811.9375
64,599457.5,653430.9375
65,576790.4375,628657.9375
66,559559.4375,624332.0
67,540573.375,606505.1875
68,525139.9375,586440.375
69,503192.1875,563638.75
70,489639.78125,544357.6875
71,471854.28125,541662.9375
72,454241.0,516856.1875
73,433437.0625,501850.4375
74,416900.0625,482658.28125
75,406081.53125,471613.46875
76,383453.6875,447373.75
77,374923.78125,451472.15625
78,351744.5625,417572.34375
79,340967.0,415795.0
80,323276.5625,388807.75
81,309563.46875,385148.53125
82,302509.65625,362615.5625
83,294825.28125,350844.5625
84,273280.53125,343630.5
85,270476.71875,336038.1875
86,259911.46875,315270.6875
87,252498.484375,301073.15625
88,234968.890625,296011.625
89,235505.734375,284445.75
90,231443.21875,270118.5
91,217089.890625,276092.78125
92,215522.96875,250607.734375
93,208014.328125,254701.90625
94,199100.4375,262469.625
95,198406.953125,238879.859375
96,192704.5625,235709.359375
97,194891.59375,229484.25
98,176427.0,210301.46875
99,173193.671875,192357.703125
