epoch,loss,val_loss
0,629078.25,628481.9375
1,628465.1875,627873.8125
2,627809.4375,627236.6875
3,627176.8125,626573.5
4,626544.1875,626018.25
5,625856.625,625167.6875
6,625170.3125,624667.625
7,624461.75,623798.6875
8,623727.9375,623102.8125
9,622949.5,622187.4375
10,622109.8125,621215.6875
11,621275.0,620680.125
12,620364.375,619469.8125
13,619352.4375,618674.5625
14,618470.5,617681.375
15,617454.25,616568.25
16,616257.8125,615373.9375
17,615002.5625,614347.0
18,614002.0,613058.125
19,612706.8125,612123.0
20,611443.0,610440.6875
21,610081.5,609345.5
22,608570.125,607860.625
23,607012.75,606504.8125
24,605602.125,604677.8125
25,603876.375,602719.9375
26,602036.75,601703.9375
27,600441.625,599261.875
28,598602.875,598350.6875
29,596741.0,596149.0625
30,594416.75,594478.25
31,592639.4375,591966.0
32,590184.0,590419.1875
33,587563.75,587613.6875
34,585733.3125,585764.375
35,582876.75,582641.8125
36,580312.4375,581047.875
37,577838.1875,577919.0
38,574496.375,574111.0625
39,571483.3125,571234.375
40,569159.5625,570201.5625
41,565968.1875,566814.75
42,562725.25,564386.125
43,558841.875,560265.0
44,554987.3125,556236.875
45,551802.9375,553468.6875
46,547934.75,548541.625
47,543527.875,545311.625
48,540042.75,541260.4375
49,535694.5625,538948.5
50,531854.125,533843.8125
51,526925.75,531407.4375
52,522532.65625,525404.125
53,517446.8125,520263.65625
54,512177.375,515625.21875
55,508374.5625,514660.8125
56,503047.84375,507267.25
57,497588.46875,503637.5625
58,492070.46875,496130.65625
59,487002.71875,490760.71875
60,481312.25,487192.84375
61,474324.3125,477683.28125
62,469941.46875,475350.0625
63,463142.9375,468245.375
64,457651.78125,462847.65625
65,450779.875,456880.8125
66,444868.5625,454249.0625
67,437676.34375,444689.34375
68,430730.65625,438772.09375
69,423436.5,431688.1875
70,416248.5,426905.125
71,410212.6875,416985.4375
72,402369.90625,413627.65625
73,394449.15625,406340.75
74,386827.71875,395909.3125
75,379935.5,390306.125
76,372609.90625,383926.21875
77,363885.40625,377988.46875
78,357205.6875,370291.71875
79,350142.65625,363853.59375
80,343251.09375,354842.28125
81,334400.5,350938.375
82,327447.0,345002.5625
83,319455.78125,334623.3125
84,310912.34375,329462.28125
85,304939.34375,324488.8125
86,295120.375,313671.28125
87,288471.125,305612.78125
88,282065.625,305239.90625
89,273446.46875,291723.84375
90,266412.84375,287824.65625
91,260001.4375,275349.59375
92,252033.484375,267493.875
93,245387.90625,260882.0625
94,238228.984375,254242.59375
95,230596.796875,251393.25
96,225370.328125,245293.046875
97,220115.5,240711.453125
98,211413.75,232586.171875
99,206107.0625,224644.359375
