,16_1,16_2,16_3,16_4,18_2,18_3,18_4,20_2,20_3,20_4,6_1
loss,0.19193744076243605,0.11332675912192126,0.16314912057594713,0.05545558103667313,0.09364815664629798,0.14125652336729483,0.05904894820506137,0.09144704473967055,0.15542814605134245,0.05447800718749874,0.36503996107658837
Data,0.1230936704177252,0.09229798698928994,0.11648229750948892,0.02462862455614016,0.07440779615246074,0.1036172724315818,0.023183227765937925,0.07038959981480115,0.10502199251467073,0.015461288786060373,0.2234574600424565
Data_NaN,0.5771230148597503,0.29577732589882866,0.46909231745021446,0.09551477201387916,0.2365174183333424,0.3881329491104878,0.1115954663132278,0.23239629065066997,0.44684810621637694,0.10889803980227927,0.9720476110216597
de_natureza_juridica,0.03220363939836831,0.01651078768231919,0.026916926333182295,0.036700292136257806,0.011392565509697921,0.02371377930779692,0.03092780887660846,0.011844639954957324,0.02279430423194254,0.027198912811950898,0.17120284072949854
de_ramo,0.015606332071860072,0.007783456948179174,0.009264827437016745,0.015585064192787863,0.005976810480769671,0.011446736254532573,0.01833805591392685,0.006454484255223627,0.010815696003781239,0.013616330055913456,0.05269577606043346
fl_rm,0.006872452605305843,0.002491551743243152,0.0053203496590099285,0.009721365639231575,0.0024070881330080225,0.007168921438688544,0.014073067515248984,0.0018510083671213246,0.005966932778443459,0.008289540291462146,0.021465941948789945
natureza_juridica_macro,0.007092129662108254,0.0035651977449445657,0.004680072223033074,0.009312160549239374,0.0035943110361957636,0.004270040817086545,0.008963541514699308,0.003861191731707101,0.002790850983985083,0.008280537025609486,0.036181952751858135
sg_uf,0.005799694931213285,0.002206578191605882,0.0026080286733701197,0.003628079098990371,0.002191116452925432,0.00508866906428421,0.0054855794993452205,0.0022838093556831,0.004096034517459256,0.0038981300936093634,0.007804297920788678
setor,0.007729353645527867,0.0036705748578140015,0.006212614542266852,0.005767609330523811,0.004324401141813313,0.0071022820881974525,0.0090854942050933,0.003252157029813864,0.00585341352549657,0.005715446743432065,0.019505353578904146
nm_divisao,0.12116622798879381,0.08852478011812963,0.10055950210547783,0.12248592508930556,0.08697352007451192,0.11005918807546858,0.1177289047291581,0.08555494584667851,0.11680178134374215,0.10790097209769235,0.3027497483810908
nm_segmento,0.012359148337387703,0.006290487282660226,0.008356913642197008,0.011609030808781234,0.004863093269359268,0.008961629037233725,0.014196296051984102,0.005268717299438488,0.008026216946489794,0.011507564519440204,0.0373863577580368
fl_spa,0.003526544505008824,0.0022128558353665217,0.0027061088328761322,0.003465368167307018,0.0025435948660793963,0.0027189850774396894,0.003506342866490792,0.0024356595707834294,0.002485208990524562,0.003208203146129217,0.005596470609176117
fl_antt,0.017035422276075875,0.012942506964515212,0.01396309097074497,0.016678569261247004,0.012141471977909686,0.015165203395234028,0.016504638120007346,0.01139729358190277,0.014752806164324284,0.016170624361544008,0.038079721840019794
fl_veiculo,0.07306333489611115,0.05918624320290458,0.07288074414704887,0.0762879165860129,0.050639001757536134,0.06828720642017647,0.07121303168610787,0.052514005190050096,0.06900248755241783,0.06926677711832692,0.23660831426230955
fl_optante_simples,0.07914510694607882,0.06258215618805146,0.07190458277161692,0.07695573788713402,0.06771741188328032,0.06724077279508954,0.0793176139639297,0.06428485563103582,0.06808338602873641,0.07755332807420005,0.33417210360647925
fl_optante_simei,0.04020939971989309,0.017595834295514604,0.03625915763558636,0.02639752280124476,0.016851786996277287,0.030712347451440046,0.029645057946023807,0.018832350700673923,0.024056570342099164,0.03047599210600618,0.055296978585317104
sg_uf_matriz,0.07406367455989542,0.0538346979399802,0.0666077723595458,0.06704333141236238,0.0520040700867982,0.06737722089173089,0.07223471463985846,0.04962633030725197,0.06623591230788702,0.06640476494712728,0.15016741064232839
de_saude_tributaria,0.21715550838221967,0.19770282716818258,0.21678832047422167,0.24381540715694427,0.17918569647090535,0.22127295652745474,0.22316463480533008,0.1744297207661078,0.21197541519789628,0.21245122669448316,1.1507934718064858
de_saude_rescencia,0.0024074675428392496,0.0018440892499327188,0.0017920051189795347,0.0026312277670359424,0.0012747263162836274,0.0017392601765377422,0.0025483372237559564,0.001487162095760192,0.00200643696827145,0.002911059910588911,0.008114433557149286
fl_simples_irregular,0.00445470479677733,0.0018959144678812893,0.003167172200308824,0.0036126398399446004,0.0025955451075249996,0.0027801705020952076,0.0022134634208681825,0.0021810452916993903,0.0026265066641737037,0.002438637278777298,0.0074673003228512445
nm_meso_regiao,0.0540432138762004,0.04340788339015464,0.04967005440676716,0.050195135805808325,0.03855112347174698,0.0495109187675194,0.05544859296839002,0.03819461631208238,0.05125210801480522,0.04861318629602311,0.08820586641069869
nm_micro_regiao,0.2275765166735985,0.19563284747197596,0.21925901967874714,0.21862825751304626,0.1829211180898505,0.2156755265215753,0.2301411423045145,0.18151457439845717,0.23709407511731267,0.21643709695675004,0.38235089098903496
fl_passivel_iss,0.059006479004739036,0.05488653202921572,0.05724460710312279,0.056327825700733025,0.051394929558458466,0.059343330404708086,0.06198118726762248,0.053703563156682003,0.0631286712284659,0.05760870370226846,0.1477101506061957
