,Train,Val,Test,error val,error test
0,129.90762329101562,107.11209106445312,52.35723114013672,0.17547493864541386,0.5969656759646242
1,196195.640625,207799.5625,239957.53125,0.05914464683330678,0.22305230883618155
2,75876.0,91447.3359375,113971.8359375,0.20522083316859097,0.5020801826335073
3,1943.808837890625,1686.822998046875,2023.4580078125,0.1322073625936514,0.04097582456117865
4,13365.0537109375,13061.2919921875,17189.478515625,0.022728058212097668,0.2861510987836675
5,11527.5927734375,10875.67578125,16114.560546875,0.05655274305748226,0.3979120240963958
6,487876.4375,601531.875,777529.5625,0.2329594724483901,0.5937018120494906
7,237071.375,295869.84375,423928.0,0.24802011103196242,0.7881872073336564
8,3655423.5,4183006.75,4909487.0,0.1443288992369831,0.3430692777457933
9,1984855.875,2419967.0,3002051.5,0.21921547578360068,0.5124783304480482
