epoch,loss,val_loss
0,67006.5859375,66693.2578125
1,66604.90625,66279.0078125
2,66193.96875,65954.390625
3,65810.296875,65493.46875
4,65399.95703125,65165.09375
5,64949.734375,64741.140625
6,64517.00390625,64460.83203125
7,64084.2578125,63969.234375
8,63647.1953125,63536.19140625
9,63113.46484375,63069.28125
10,62698.18359375,62542.8203125
11,62084.421875,61938.875
12,61634.8515625,61435.19140625
13,60965.19921875,60931.328125
14,60433.3203125,60405.69921875
15,59770.28125,59797.2578125
16,59182.87109375,59324.421875
17,58438.48046875,58569.515625
18,57729.73046875,57783.80859375
19,56953.0703125,57381.59765625
20,56120.75,56483.296875
21,55396.328125,55862.1640625
22,54486.9921875,55038.90625
23,53687.84375,54418.63671875
24,52671.16796875,53078.08984375
25,51902.2421875,52469.10546875
26,50724.7109375,51887.875
27,49736.640625,50798.83203125
28,48912.1640625,49583.24609375
29,47697.078125,48441.15625
30,46643.6953125,47702.69140625
31,45643.54296875,47347.5
32,44540.5,45961.81640625
33,43226.53515625,44520.01953125
34,42190.9921875,43235.0234375
35,40768.109375,42287.671875
36,39567.39453125,41695.73046875
37,38210.046875,40090.1484375
38,37119.9921875,39145.16015625
39,35601.7421875,38437.44921875
40,34407.11328125,36603.8515625
41,33093.828125,35785.6484375
42,31818.41796875,34965.43359375
43,30216.908203125,32748.927734375
44,29048.291015625,31955.16796875
45,27729.583984375,30785.265625
46,26291.677734375,29493.76953125
47,25055.201171875,28454.43359375
48,23636.171875,26880.123046875
49,22125.310546875,25729.36328125
50,21048.15625,24195.7734375
51,19539.798828125,22822.712890625
52,18905.298828125,21679.517578125
53,17608.609375,21856.20703125
54,16377.890625,19986.396484375
55,15656.2880859375,19176.6796875
56,14357.3466796875,17733.4765625
57,13669.431640625,16565.435546875
58,12961.9638671875,16282.673828125
59,12322.39453125,15486.7353515625
60,11670.8154296875,13793.083984375
61,10903.587890625,13845.1298828125
62,10045.2548828125,12342.5703125
63,9551.8837890625,12018.2431640625
64,9081.3193359375,11632.9365234375
65,8398.8515625,10551.619140625
66,8741.3681640625,10893.2158203125
67,8121.57861328125,9583.5927734375
68,7845.03662109375,8695.283203125
69,7337.865234375,8424.6962890625
70,7379.7001953125,8368.7109375
71,7471.67822265625,8337.875
72,7511.49658203125,7341.07177734375
73,7458.42822265625,8405.9755859375
74,7214.4345703125,7174.9541015625
75,7105.2958984375,8406.56640625
76,6926.89599609375,7791.72900390625
77,6674.041015625,7425.2294921875
78,6298.86181640625,6804.28759765625
79,6116.63671875,7605.3037109375
80,6500.673828125,6728.4794921875
81,5882.0107421875,7866.7314453125
82,5850.25390625,6891.2353515625
83,5575.87890625,6731.97021484375
84,5198.83642578125,6646.68115234375
85,5294.17578125,6934.8603515625
86,5156.9267578125,7426.4267578125
87,4805.93896484375,7814.06591796875
88,4925.78369140625,7041.23974609375
89,5079.1318359375,5911.54345703125
90,5163.25244140625,6515.99853515625
91,4826.66455078125,7033.46044921875
92,4942.92626953125,6514.357421875
93,4856.97802734375,6567.71142578125
94,4818.345703125,7295.35498046875
95,4903.15478515625,7086.36083984375
96,4805.00927734375,8131.595703125
97,4698.04931640625,6661.50341796875
98,4200.16845703125,6837.33740234375
99,3985.688720703125,7255.15771484375
