epoch,loss,val_loss
0,3192664.5,3188849.25
1,3188321.5,3184097.25
2,3184371.25,3179976.25
3,3180043.0,3175974.75
4,3175747.5,3171811.75
5,3171207.0,3165497.75
6,3166864.0,3162892.25
7,3161979.0,3157008.25
8,3156981.5,3153333.75
9,3152000.5,3145016.5
10,3147137.5,3139938.25
11,3141213.5,3135770.75
12,3135443.5,3127550.25
13,3129061.0,3122450.75
14,3122786.25,3116130.5
15,3116055.5,3108767.25
16,3108948.5,3100670.5
17,3101070.0,3094338.0
18,3094887.25,3085853.25
19,3086261.0,3078577.75
20,3078078.25,3070913.0
21,3069623.75,3060509.25
22,3060712.75,3052245.5
23,3050816.25,3040535.0
24,3042441.0,3033781.0
25,3031822.0,3018782.5
26,3019629.5,3011530.0
27,3008663.0,2999374.25
28,2997830.25,2986192.25
29,2985574.25,2972070.75
30,2972593.5,2963079.25
31,2959233.25,2951087.5
32,2943585.25,2938017.75
33,2931331.0,2924780.25
34,2917907.25,2910857.25
35,2902193.25,2890446.5
36,2887380.75,2881026.75
37,2871461.0,2860781.75
38,2853505.0,2845976.25
39,2835478.5,2825122.0
40,2817850.0,2816313.25
41,2800699.0,2789311.0
42,2778834.5,2776347.0
43,2761624.5,2746585.0
44,2737949.25,2732014.0
45,2718093.25,2713366.75
46,2693764.5,2681888.0
47,2670675.0,2664805.25
48,2645435.0,2649354.75
49,2622619.75,2622315.0
50,2598894.75,2595268.75
51,2571915.5,2571245.25
52,2547318.5,2542650.75
53,2521796.75,2516153.75
54,2492428.0,2500554.75
55,2468126.5,2479294.5
56,2432825.75,2425211.5
57,2402539.25,2413608.0
58,2374219.0,2375864.0
59,2345825.5,2340917.0
60,2310638.5,2324031.0
61,2276724.0,2270018.5
62,2249059.0,2255553.75
63,2213884.75,2230413.0
64,2182956.25,2177081.75
65,2143758.25,2156334.75
66,2115965.5,2143952.25
67,2069154.875,2076369.0
68,2036610.75,2045742.375
69,1995956.625,2004019.625
70,1954654.375,1994933.875
71,1919848.375,1944592.5
72,1885685.375,1921038.25
73,1842666.75,1884936.5
74,1801219.625,1812624.375
75,1772992.5,1798307.75
76,1722307.25,1761867.625
77,1686611.5,1740114.75
78,1648197.0,1688734.5
79,1611624.625,1657875.0
80,1572419.0,1608091.75
81,1530239.125,1594488.5
82,1491910.125,1550168.375
83,1454707.625,1509476.625
84,1410576.0,1472224.125
85,1377128.75,1440727.625
86,1328978.25,1404358.75
87,1298157.75,1358563.75
88,1269729.5,1328692.25
89,1232651.25,1293008.0
90,1194869.5,1289466.125
91,1168928.0,1222244.75
92,1127075.625,1217150.75
93,1102434.0,1137780.375
94,1060998.0,1127345.375
95,1025768.1875,1150152.0
96,999196.5625,1073546.375
97,987434.5,1050535.75
98,940444.375,1052892.375
99,918265.8125,1029274.5625
