,Train,Val,Test,error val,error test
0,446.2622985839844,416.9501647949219,424.4447326660156,0.06568364363754586,0.048889556628908926
1,280617.25,300784.375,369746.78125,0.07186701815373064,0.3176195734581535
2,178698.65625,196747.140625,271001.09375,0.10099955284358786,0.5165256383957839
3,4721.59716796875,6806.68212890625,6299.57080078125,0.441605856400179,0.33420335887979835
4,32379.544921875,41065.6171875,47321.828125,0.26825800938779887,0.4614729218454914
5,7320.22412109375,11254.7470703125,9433.353515625,0.5374866785678243,0.2886700406401652
6,844556.875,954166.75,1309675.625,0.12978388814844477,0.5507251953872261
7,628733.375,804033.5625,999725.3125,0.2788148275093556,0.5900624211336005
8,6370637.5,6876748.0,8686884.0,0.07944424714167142,0.36358158818485586
9,3723557.0,3976798.25,5539097.5,0.06801057429764068,0.4875823036950959
