epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.2014124,0.51629657,3.4331703,3.5098267,0.6620927,1.7538633,0.7356372,0.69653213,0.7058058,0.7072025,0.71582234,0.6485333,0.72425336,0.6680341,1.388778269290924,1.7670295,4.461302,2.9245503,4.3498745,3.0603347,1.5480673,3.3233259,1.7914177,1.1476257,0.4056221,3.2771475,3.4340627,0.4890557,1.695964,0.6133399,0.6598863,0.6871184,0.7010986,0.7198928,0.5961925,0.60352737,0.5559172,1.3087016344070435,1.6179643,4.40585,2.8581407,4.3633127,2.9675753,1.4249388,3.2266924,1.7568415
1,1.1571417,0.38131893,3.215001,3.407023,0.4447667,1.660796,0.5438186,0.6555284,0.6773696,0.6964481,0.70720994,0.5350244,0.55157644,0.5312338,1.2867308259010315,1.5707074,4.3874965,2.8392692,4.345772,2.9090397,1.3758919,3.174077,1.7269876,1.1164998,0.354135,2.998094,3.3091125,0.30843592,1.5589811,0.35474643,0.644327,0.63759845,0.68287605,0.6733567,0.3398907,0.36972448,0.45152813,1.2133073806762695,1.4260492,4.3184085,2.7731833,4.2782955,2.72984,1.2461888,2.9872878,1.641212
2,1.1335974,0.35525864,2.9069629,3.2613163,0.26791927,1.5338624,0.31689999,0.6362814,0.62607265,0.6779045,0.6640008,0.2875757,0.31088048,0.417955,1.1981289386749268,1.3887858,4.2786064,2.7531528,4.245308,2.661296,1.2117846,2.9028852,1.622611,1.1133589,0.34947243,2.6049278,3.1109114,0.16587268,1.4633949,0.22839342,0.6170703,0.58935606,0.6659022,0.64278793,0.16469623,0.1702284,0.3373753,1.137900948524475,1.261876,4.1569667,2.6869087,4.1502633,2.48647,1.1413945,2.6528468,1.5655409
3,1.126152,0.34486386,2.5038762,3.0531425,0.14523336,1.4418015,0.21340363,0.60903025,0.5773457,0.66573167,0.6384355,0.14215283,0.14424312,0.31670994,1.123700201511383,1.2268789,4.1037054,2.6670587,4.1150603,2.4263606,1.1248958,2.5720272,1.5532079,1.085966,0.33559588,2.1884928,2.9032183,0.101819344,1.3877236,0.16869311,0.5843415,0.539753,0.659555,0.6285058,0.09206264,0.08706229,0.280278,1.0690900087356567,1.1071733,3.9580727,2.6064885,4.010841,2.3083634,1.0936518,2.356262,1.5024973
4,1.0969915,0.33064216,2.0969543,2.8545046,0.0932833,1.3708062,0.15740028,0.5715636,0.5270112,0.6569611,0.6268748,0.08371672,0.07699436,0.26982135,1.0568408966064453,1.07614,3.8995166,2.5864933,3.9735706,2.264418,1.07735,2.2864208,1.4876466,1.0586792,0.3263196,1.7987386,2.7274063,0.073431686,1.3211062,0.12131053,0.53687894,0.49205294,0.6396679,0.61600775,0.0637293,0.053732775,0.26496655,1.0100940465927124,0.9682537,3.7458458,2.5236065,3.851323,2.2080445,1.0555266,2.1074955,1.4332312
5,1.0719652,0.3259281,1.7256395,2.6794324,0.06888768,1.3115424,0.114907645,0.5183084,0.48357856,0.6345391,0.61273515,0.0599367,0.04959155,0.2593718,1.00150465965271,0.9437144,3.680162,2.509118,3.8164878,2.1744971,1.0387409,2.0516157,1.4189045,1.0296032,0.33032,1.4956133,2.563566,0.057364248,1.2788568,0.09316837,0.47373828,0.4506969,0.6104125,0.59831274,0.050203197,0.04028885,0.26632896,0.9615774750709534,0.8549819,3.5210254,2.452187,3.6996157,2.1369772,1.0158607,1.9044839,1.3682128
6,1.0413127,0.32720804,1.4500393,2.5193672,0.055082936,1.2747974,0.092478976,0.45542055,0.4424792,0.60322905,0.5943748,0.048665427,0.03897106,0.26039004,0.9535968899726868,0.83479255,3.4545999,2.438438,3.6721053,2.0983229,0.99682915,1.8624669,1.3535348,1.0019836,0.31911668,1.2984611,2.4246593,0.050031915,1.2567619,0.08313593,0.4126065,0.42207488,0.5779845,0.57692695,0.046409357,0.035879284,0.26662523,0.9168609380722046,0.7620124,3.3104167,2.38584,3.5785522,2.0483263,0.96655834,1.7488443,1.2964547
7,1.0144343,0.31449717,1.2731647,2.3881178,0.049358904,1.2531539,0.08418812,0.39886153,0.41685688,0.5673268,0.5720392,0.04688084,0.035608858,0.25934273,0.9096973240375519,0.7446159,3.2487066,2.3703382,3.5559444,2.0088172,0.94189644,1.7112451,1.2768517,0.9794827,0.30750218,1.1794343,2.32204,0.048664276,1.2359767,0.07840889,0.3690785,0.4019733,0.53759235,0.55659026,0.04847,0.03500684,0.26307902,0.877936065196991,0.68445605,3.1270027,2.317782,3.4694252,1.9484668,0.90124017,1.615665,1.2087865
8,0.99402547,0.30430114,1.1632919,2.288586,0.048498668,1.234955,0.07928468,0.36305428,0.40081418,0.5257896,0.55385333,0.048726678,0.034838077,0.25502777,0.8728232383728027,0.67313766,3.069675,2.2997618,3.4558644,1.9130378,0.87403315,1.5816116,1.1870234,0.95630866,0.30181187,1.0900595,2.232975,0.04710302,1.2178901,0.07249289,0.3475796,0.39343673,0.49191982,0.5409235,0.04831142,0.032960176,0.2582471,0.8435084819793701,0.6210712,2.956739,2.2478397,3.371077,1.8607513,0.8270287,1.4930748,1.1204517
9,0.97234094,0.30015472,1.0811689,2.2046468,0.046595138,1.2159426,0.07378171,0.34286752,0.39216733,0.48032558,0.5383321,0.0476926,0.03247965,0.2507094,0.8397826850414276,0.61279345,2.9031694,2.2294903,3.3572178,1.8266673,0.80530894,1.457708,1.099844,0.93510103,0.29545757,1.0190628,2.1561248,0.04365861,1.203274,0.06757422,0.32926378,0.39266515,0.4491822,0.5263268,0.04530494,0.030086394,0.2528425,0.8117395639419556,0.5686059,2.802307,2.1764958,3.2780607,1.7834558,0.75746316,1.3703634,1.0352386
