epoch,loss,val_loss
0,773081.3125,770724.125
1,770286.5625,768185.3125
2,767729.0625,766180.8125
3,765147.625,763565.8125
4,762145.8125,760423.0
5,759382.25,758397.6875
6,756513.9375,755615.0
7,753524.4375,752491.1875
8,750766.5,750242.625
9,747294.1875,745945.375
10,743831.8125,742494.75
11,740027.0625,740133.125
12,736365.125,737392.6875
13,732167.875,733793.625
14,728516.5625,728858.8125
15,723906.3125,725833.8125
16,720028.4375,720698.3125
17,715017.25,716432.0625
18,710687.0625,712599.125
19,705247.5,707006.0
20,699361.0,703548.9375
21,694866.875,700004.75
22,688733.875,693515.375
23,683589.5,686778.875
24,677454.5625,681121.75
25,670631.8125,678589.0
26,663411.8125,670028.875
27,656841.0625,664530.25
28,650689.125,656237.375
29,642590.0625,650092.5
30,634757.3125,644101.3125
31,628145.625,640150.875
32,618901.6875,628793.5
33,610939.4375,621665.0
34,603454.1875,617016.875
35,592773.1875,612188.4375
36,584757.0625,600143.4375
37,573457.75,595694.8125
38,563785.5625,582797.25
39,555520.6875,578080.625
40,545451.1875,565321.0
41,533632.5625,559562.1875
42,522362.1875,551350.4375
43,511375.5625,531465.0625
44,501241.125,529285.875
45,492834.25,515217.03125
46,475667.78125,508432.15625
47,467367.15625,493914.34375
48,452688.21875,487983.125
49,438638.09375,473451.09375
50,426014.625,463559.03125
51,413569.15625,453546.96875
52,402200.59375,438645.71875
53,390681.90625,430618.375
54,376041.875,417915.40625
55,364868.46875,406058.875
56,350421.53125,400313.53125
57,339497.84375,383254.40625
58,327814.0,374874.375
59,312589.53125,364471.3125
60,301853.28125,337449.53125
61,290619.21875,333566.34375
62,277079.1875,325002.09375
63,266661.375,313146.8125
64,252823.484375,304610.5
65,240728.453125,289466.25
66,234417.53125,287311.90625
67,221677.90625,273093.84375
68,211515.265625,261431.875
69,202256.75,252783.1875
70,192447.375,242095.078125
71,185559.953125,225369.140625
72,179600.171875,216303.890625
73,175203.25,214836.8125
74,164360.5,200743.25
75,158241.234375,195895.734375
76,153830.015625,185705.390625
77,147636.234375,187607.421875
78,140599.578125,181097.984375
79,132271.328125,171571.46875
80,132102.6875,157709.40625
81,125699.2265625,164307.171875
82,122691.5234375,144498.796875
83,119512.234375,149186.5625
84,111461.015625,148888.0625
85,110736.8515625,142394.96875
86,107097.375,135634.125
87,104929.3203125,134427.125
88,100959.453125,129410.671875
89,103656.0859375,122389.2890625
90,101737.171875,126945.7578125
91,96443.6015625,121561.3515625
92,96598.7421875,108928.390625
93,92202.796875,113718.78125
94,93802.453125,113320.1171875
95,88337.53125,126749.90625
96,92827.4296875,111679.1328125
97,89249.7578125,103092.125
98,78714.4140625,111310.234375
99,81037.5859375,105361.296875
