epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1915731,0.49247962,3.5199018,3.4926229,0.6512983,1.8743243,0.63507855,0.6861554,0.7418661,0.6561887,0.6675158,0.6677428,0.5493603,0.6410999,1.37198805809021,1.836751,4.3855433,2.9041734,4.286812,3.047652,1.5295469,3.2988124,1.7861353,1.1396723,0.37914267,3.4115927,3.4228919,0.4807322,1.8436534,0.40181452,0.6456878,0.6784989,0.6515703,0.6570592,0.53346044,0.40338913,0.53380114,1.2830396890640259,1.7616516,4.2864594,2.845926,4.225881,2.9160233,1.3848681,3.170036,1.7350695
1,1.1531725,0.3664983,3.3458428,3.3886013,0.41666114,1.8210542,0.35617772,0.6383292,0.6693119,0.6470527,0.6586739,0.47733435,0.34379655,0.4809819,1.264865219593048,1.7273499,4.2312264,2.8246112,4.2034955,2.8680944,1.3485864,3.1176002,1.7214247,1.1160794,0.35781032,3.099445,3.2731938,0.2463227,1.7334756,0.23233476,0.6293912,0.6432493,0.6243203,0.65718836,0.30772793,0.1857421,0.35534146,1.1982133388519287,1.5970292,4.056989,2.7660072,4.1179633,2.7301114,1.2462703,2.931392,1.6740062
2,1.131556,0.35821965,3.004578,3.2252107,0.21135828,1.6977739,0.20472243,0.62475854,0.63550174,0.6113687,0.65593827,0.26362854,0.15534171,0.33193374,1.18409663438797,1.537884,3.9943974,2.7457898,4.0950603,2.6793904,1.2210788,2.862361,1.6554909,1.0961845,0.34721953,2.70397,3.0847123,0.1331955,1.5960648,0.13377619,0.6148293,0.60777706,0.5721129,0.64834136,0.15710527,0.089513555,0.2963667,1.1227856874465942,1.353464,3.8319795,2.6855788,4.003956,2.5387003,1.1503146,2.6524534,1.5965757
3,1.110687,0.3397745,2.6072564,3.0294585,0.118223876,1.5668077,0.12203333,0.60718024,0.598082,0.5640353,0.6469463,0.13687417,0.079120055,0.28690737,1.1089133024215698,1.2923472,3.7711768,2.6651163,3.9811702,2.4910688,1.124403,2.5879273,1.5775541,1.0715184,0.32510978,2.310577,2.8741403,0.08082271,1.4833919,0.08919992,0.5830258,0.56411254,0.5386083,0.63834107,0.089066915,0.05314267,0.27908674,1.0519649982452393,1.1162723,3.61281,2.6031477,3.8845396,2.3623133,1.0562223,2.389991,1.523057
4,1.084584,0.3219661,2.2205064,2.8154244,0.07166971,1.4601247,0.08532691,0.57188296,0.5556977,0.5324749,0.6375098,0.07923832,0.047200255,0.27215928,1.0404712557792664,1.0717255,3.5461276,2.5844703,3.8613276,2.3121152,1.034182,2.330185,1.5081182,1.0495096,0.31685767,1.9408435,2.653487,0.049229097,1.3916963,0.0689527,0.537958,0.5243619,0.5031336,0.63297963,0.056315888,0.03141142,0.27339846,0.9919139742851257,0.95316905,3.37669,2.5336797,3.7564104,2.1904373,0.98831403,2.1462352,1.4617796
5,1.0656643,0.31577194,1.8631172,2.5942628,0.04457657,1.3760355,0.06875466,0.5254438,0.5140742,0.49833864,0.6297289,0.05154638,0.028056402,0.26844442,0.9836176037788391,0.92801076,3.3083663,2.524119,3.7354226,2.1385934,0.969746,2.09488,1.4508762,1.0276703,0.31475464,1.6191275,2.4501016,0.034417167,1.329402,0.059483007,0.4902895,0.47720572,0.46420217,0.6221642,0.040364962,0.0203323,0.27454284,0.9419795274734497,0.848707,3.1570673,2.4947095,3.6342254,2.033228,0.935994,1.9430205,1.4120384
6,1.043742,0.3133049,1.5598968,2.4013693,0.03245745,1.3210349,0.06073837,0.48023129,0.46747774,0.45288193,0.6198685,0.038444247,0.018905338,0.26836205,0.9356222450733185,0.8275886,3.0978785,2.489416,3.6180797,1.9883934,0.9120189,1.9050064,1.4024911,1.0093827,0.3116274,1.3815349,2.2906656,0.029224578,1.2936654,0.05530585,0.44787595,0.43964532,0.41077888,0.60613436,0.034364577,0.016185908,0.27186123,0.900782585144043,0.75303996,2.986607,2.454601,3.5315065,1.9090049,0.86804193,1.7896463,1.3601098
7,1.0240706,0.31000784,1.3449306,2.2497454,0.028786927,1.2905588,0.05741911,0.43691003,0.43510866,0.3989991,0.6013291,0.03414031,0.01621853,0.26376235,0.8955931961536407,0.73287344,2.9334667,2.4467072,3.521555,1.86793,0.83637714,1.7627747,1.3518263,0.9889258,0.3072139,1.2258883,2.1650152,0.02895426,1.2701929,0.05468059,0.4149617,0.42134318,0.35750407,0.5833941,0.035454012,0.015950339,0.26573712,0.8654907941818237,0.6668151,2.8506358,2.4092848,3.453038,1.8008736,0.77950543,1.6755619,1.3068763
8,1.0053656,0.30491698,1.206444,2.1321597,0.029413365,1.2702708,0.057806857,0.40571725,0.41793925,0.34651142,0.57669425,0.036819197,0.016600719,0.2579996,0.8618827760219574,0.65368736,2.8018646,2.4004514,3.4486327,1.7590358,0.75079185,1.6541237,1.2930037,0.96886873,0.3003921,1.126904,2.0669956,0.031325962,1.2532017,0.05655682,0.38388193,0.4073626,0.31220648,0.5577584,0.041424178,0.017798318,0.25839844,0.8348686099052429,0.6029647,2.7321894,2.3649633,3.39033,1.6990331,0.69662255,1.5896597,1.2465544
9,0.9884186,0.2970099,1.1136388,2.0353398,0.03119295,1.2508347,0.059426554,0.37817326,0.406375,0.30588254,0.5535592,0.042632934,0.018317237,0.2522567,0.8325845897197723,0.5928787,2.6874106,2.353414,3.385232,1.6616273,0.6749938,1.5698879,1.2318558,0.94953305,0.29256278,1.043694,1.9849159,0.031886164,1.2350649,0.058401,0.35937086,0.39935982,0.28693917,0.5388957,0.044959832,0.018977435,0.25614926,0.807523787021637,0.55618346,2.6281996,2.315472,3.3254025,1.611433,0.6301777,1.5112764,1.1852429
10,0.9675414,0.29100332,1.0289807,1.9555712,0.031177193,1.2331829,0.060151525,0.35167617,0.39587146,0.28841352,0.5348191,0.04415249,0.01883396,0.2517415,0.8057376146316528,0.54469967,2.5832882,2.3069277,3.32111,1.5765932,0.6125463,1.4906789,1.1754432,0.92871946,0.2879851,0.95901394,1.9086338,0.030266127,1.21652,0.05763503,0.32857656,0.38906008,0.2830362,0.52190775,0.041666884,0.018103896,0.25517878,0.7820850014686584,0.5094894,2.5326726,2.2691422,3.2607706,1.5389175,0.5774222,1.433293,1.1316833
11,0.9492638,0.28543285,0.9458935,1.8848025,0.030165795,1.2135162,0.060097694,0.3196119,0.3857221,0.2842179,0.5179032,0.040682524,0.018107682,0.25070912,0.7812284529209137,0.5003376,2.4899511,2.2597282,3.257154,1.5087122,0.56450105,1.4153259,1.1230689,0.9155647,0.28212819,0.88650686,1.8517363,0.030168058,1.1978333,0.058221694,0.29183105,0.3803672,0.28190956,0.49935848,0.039314587,0.018989854,0.25618923,0.7599014043807983,0.46750993,2.4502468,2.2139173,3.1965568,1.479651,0.540057,1.3599498,1.0744783
12,0.9338571,0.28066304,0.88084286,1.829777,0.030468903,1.1952119,0.061332785,0.2847315,0.37658554,0.28179675,0.49587756,0.03906142,0.01984587,0.25147706,0.7596669495105743,0.46110573,2.414269,2.2050796,3.19365,1.4551079,0.52956223,1.3459429,1.0639412,0.89941615,0.27455616,0.83897287,1.8007506,0.032183107,1.1817439,0.060746755,0.25566006,0.36958125,0.27242005,0.47524676,0.040167794,0.021976415,0.2568145,0.7384653687477112,0.43931243,2.383108,2.1521626,3.1322124,1.435008,0.51254195,1.2910588,1.0081729
13,0.91587555,0.27232882,0.83615935,1.7857723,0.032587398,1.1823642,0.06390385,0.24956717,0.36560363,0.27120727,0.46981448,0.039968304,0.023095785,0.25310546,0.7377272844314575,0.43196255,2.347314,2.1382885,3.1296577,1.4131185,0.50352645,1.2737842,0.994395,0.8869881,0.26809523,0.79364216,1.7663534,0.033071723,1.171861,0.062102657,0.22675395,0.35983974,0.26138687,0.45019782,0.039319627,0.024336254,0.2564129,0.7188313007354736,0.4071491,2.321179,2.084003,3.0622635,1.402312,0.49595684,1.2167257,0.93571043
