epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1782924,0.58136046,3.4859767,3.4949083,0.6104186,1.8123331,0.6409575,0.71330464,0.7166797,0.70396954,0.7109397,0.6222743,0.59549123,0.6921674,39.84917449951172,1.7726127,4.4490004,3.0082207,4.325987,3.03784,1.6110599,3.2905226,1.7948534,1.2258395,0.53049386,3.2838914,3.3925445,0.39421642,1.7427274,0.44245705,0.67113745,0.70232964,0.684856,0.6994975,0.4089893,0.43598118,0.59195656,37.81711196899414,1.6494734,4.324531,2.9807792,4.2858424,2.9659529,1.537425,3.1211295,1.7450587
1,1.2065415,0.5180652,3.1935236,3.3427825,0.32970896,1.7139676,0.38434035,0.6583525,0.6933545,0.6833938,0.70201826,0.36970454,0.37957966,0.5429281,37.007741928100586,1.5764141,4.2628903,2.95794,4.2675686,2.9286165,1.5071,3.0651612,1.723788,1.2414197,0.5033837,2.918044,3.2136276,0.18428195,1.6358562,0.24012135,0.6208315,0.670393,0.6779387,0.70698,0.25746167,0.24084389,0.41259682,34.79691696166992,1.354791,4.079248,2.8924894,4.2096615,2.785258,1.4090202,2.8811858,1.6614834
2,1.2165298,0.48802686,2.8131332,3.1696157,0.1562199,1.6108998,0.20651504,0.6083476,0.6656326,0.6812774,0.707844,0.2249321,0.21030784,0.38056815,34.068729400634766,1.2913241,4.012021,2.874287,4.189478,2.7263985,1.3747511,2.815699,1.6449239,1.2375231,0.46770757,2.5078375,3.049921,0.09035604,1.5375334,0.12984742,0.57912356,0.65713644,0.6742432,0.7098983,0.13667639,0.13248897,0.31105202,32.102054595947266,1.1250362,3.8133674,2.8185353,4.116012,2.536709,1.2593683,2.6075795,1.6041003
3,1.2149274,0.4561423,2.3935075,3.008094,0.07629633,1.5162915,0.11356557,0.5734731,0.65534335,0.6763455,0.707501,0.11601433,0.115402736,0.29675913,31.453125,1.0851473,3.7387834,2.802603,4.0892105,2.467071,1.2196951,2.536857,1.5940934,1.2413089,0.46188724,2.0688894,2.8743758,0.044658836,1.4480256,0.07848961,0.56361854,0.64220077,0.6614784,0.7027986,0.06505837,0.072316796,0.2803239,29.753379821777344,0.9864423,3.5220559,2.7550583,3.9896743,2.2805595,1.1201104,2.3251617,1.5688891
4,1.2248158,0.46291506,1.9539766,2.825638,0.038128976,1.4281576,0.07165317,0.56035244,0.6352649,0.6585299,0.70389843,0.05549033,0.06348753,0.27575928,29.210740089416504,0.9606737,3.446691,2.7418299,3.9549336,2.223598,1.0987837,2.2616453,1.5645142,1.260452,0.4942771,1.6554571,2.6856308,0.024912044,1.374101,0.05771417,0.5423864,0.6084912,0.6379277,0.70639575,0.032421082,0.040429074,0.28265068,27.90442657470703,0.88855034,3.2559342,2.6991313,3.8348336,2.1144783,1.0714453,2.0913818,1.5454264
5,1.239968,0.49534655,1.5616701,2.6384745,0.021969303,1.3669014,0.054819673,0.52992404,0.598132,0.6347501,0.70954645,0.028698113,0.03641442,0.28129265,27.478711128234863,0.8691346,3.1936746,2.69103,3.798652,2.083947,1.0624549,2.0416903,1.5402186,1.2715394,0.5136173,1.3431658,2.5139017,0.016809635,1.3456687,0.049865026,0.48720893,0.5696195,0.6114699,0.7087394,0.01873486,0.02462747,0.2916214,26.50503921508789,0.7978944,3.0576122,2.6477168,3.685492,2.0467927,1.0570964,1.920199,1.5256464
6,1.2474251,0.5082675,1.2741175,2.4739094,0.015586076,1.3487986,0.0482949,0.4729792,0.5616367,0.6043421,0.7070186,0.017621145,0.023443567,0.28697264,26.13747215270996,0.7724041,3.010951,2.6442757,3.6599097,2.0210133,1.0396445,1.8847226,1.5141376,1.2779495,0.5103285,1.1249374,2.3907099,0.014009851,1.3391361,0.0468825,0.4288415,0.53278494,0.5741004,0.7029019,0.013235782,0.01737644,0.28922677,25.377044677734375,0.69628304,2.9250486,2.6133687,3.5789976,1.9911484,1.0110651,1.7964464,1.5022665
7,1.257122,0.5018015,1.0768466,2.3605907,0.01329856,1.3365481,0.046181507,0.41570386,0.5197568,0.5658997,0.70041776,0.013661182,0.017769916,0.28267035,25.06724739074707,0.6689503,2.8887486,2.6147156,3.5714664,1.9607105,0.98908865,1.7713726,1.4939253,1.2849343,0.5017937,0.97951204,2.3022425,0.0134375915,1.3151286,0.04628066,0.38238752,0.49189585,0.5346023,0.6999745,0.011798259,0.015095219,0.2784376,24.477609634399414,0.59499604,2.8273053,2.5934026,3.526579,1.9224117,0.9558599,1.7198402,1.4796947
8,1.2629553,0.4950253,0.9502795,2.27989,0.013422185,1.3086554,0.046491437,0.37636942,0.48239043,0.5239071,0.69729066,0.012772278,0.016061429,0.27181405,24.217705726623535,0.5744003,2.7947874,2.5962563,3.52916,1.8887601,0.9298947,1.701443,1.4656787,1.2825224,0.49963528,0.90288305,2.23421,0.015002595,1.2905477,0.04834612,0.35444155,0.47074017,0.486807,0.69267935,0.012986375,0.01581826,0.27586097,23.79220199584961,0.5207998,2.7458043,2.5853662,3.500608,1.8467256,0.8859693,1.6808263,1.4436222
9,1.2581224,0.49436283,0.87896585,2.2100759,0.0151295625,1.2910992,0.04999669,0.34893465,0.46876407,0.47942078,0.69026375,0.01470171,0.017456165,0.27321035,23.56241226196289,0.5034523,2.7120724,2.5890374,3.502884,1.8090024,0.85886097,1.6660055,1.4305928,1.2700834,0.5007823,0.85570985,2.167585,0.017998198,1.282919,0.05427614,0.33507696,0.4711044,0.44323528,0.68372023,0.016161647,0.018585082,0.28553337,23.20594024658203,0.47577584,2.6607435,2.569962,3.4789817,1.7611822,0.80629414,1.6498293,1.4004002
