epoch,loss,val_loss
0,158639.328125,158401.109375
1,158322.90625,158058.6875
2,157985.59375,157803.9375
3,157626.03125,157456.84375
4,157266.65625,157179.40625
5,156889.359375,156739.421875
6,156535.375,156465.515625
7,156129.46875,155936.875
8,155711.578125,155720.171875
9,155304.328125,155178.671875
10,154830.484375,154892.53125
11,154347.09375,154306.390625
12,153843.359375,153935.96875
13,153387.421875,153492.640625
14,152825.8125,153111.140625
15,152283.25,152454.28125
16,151677.203125,151880.703125
17,151055.59375,151017.96875
18,150435.75,150628.046875
19,149721.3125,150005.609375
20,149026.125,149451.15625
21,148193.90625,148825.109375
22,147362.984375,148245.734375
23,146663.5,147160.09375
24,145664.0,145708.5
25,144732.859375,145598.484375
26,143796.765625,144668.34375
27,142971.9375,143993.828125
28,141973.40625,143007.546875
29,140756.015625,141811.90625
30,139745.671875,141199.46875
31,138712.515625,140240.640625
32,137355.0,138751.796875
33,136215.296875,137664.140625
34,134966.8125,136527.0
35,133565.015625,135283.390625
36,132075.875,134351.09375
37,130650.328125,133177.34375
38,129085.5078125,132070.859375
39,127509.53125,131664.96875
40,125840.6015625,128116.2890625
41,124231.6015625,127875.171875
42,122327.7578125,126775.8046875
43,120696.5234375,124124.046875
44,118694.7109375,123242.4375
45,117261.015625,121352.703125
46,114976.7890625,119510.9453125
47,113191.265625,118093.9453125
48,110988.7578125,116018.59375
49,108626.0078125,114776.5078125
50,106153.7265625,112866.625
51,104236.0859375,109958.1328125
52,102002.734375,108725.6875
53,99923.625,107140.1796875
54,97431.71875,104525.65625
55,95270.3984375,101959.0625
56,92895.5234375,100593.9296875
57,90479.140625,98808.375
58,88083.3671875,96199.6171875
59,85202.6796875,93594.5703125
60,83058.1953125,91693.6015625
61,80329.703125,89982.9609375
62,77741.8203125,86075.2734375
63,75489.359375,84892.484375
64,72513.578125,82266.3671875
65,70235.65625,79714.53125
66,67680.90625,77414.84375
67,64929.13671875,75876.34375
68,63598.78125,73473.8203125
69,61054.8046875,70012.09375
70,58816.0546875,69127.1796875
71,55754.71484375,65385.1640625
72,53767.38671875,63620.703125
73,51748.734375,61794.55859375
74,50660.08984375,60175.82421875
75,48627.0,57691.64453125
76,45962.18359375,55422.74609375
77,44594.046875,54261.609375
78,42358.2109375,51879.953125
79,40972.03125,50013.58203125
80,39483.57421875,49629.56640625
81,38285.09765625,47220.9296875
82,36872.7734375,45343.3125
83,35974.9609375,45224.171875
84,34294.7265625,44135.7265625
85,34135.3046875,41336.5703125
86,31963.974609375,40633.16015625
87,31332.0,39616.15625
88,30498.837890625,39093.76171875
89,30484.53515625,36154.5078125
90,30255.458984375,36797.7890625
91,28416.47265625,35825.34765625
92,29376.095703125,31952.392578125
93,27472.771484375,33987.2578125
94,27923.921875,34296.7890625
95,26794.365234375,33321.95703125
96,25917.09375,31691.2734375
97,26851.7890625,31710.2109375
98,23983.248046875,31448.109375
99,23686.662109375,29387.86328125
