epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1659871,0.5483651,3.5236568,3.4918404,0.6618285,1.7865224,0.7239512,0.67946273,0.7035781,0.6860207,0.7079822,0.64267373,0.628206,0.59580857,39.82598304748535,1.7410527,4.4655495,3.005715,4.290306,3.062275,1.6055617,3.2671392,1.8424996,1.1968571,0.5170666,3.3934083,3.3878756,0.40671417,1.7360734,0.5892544,0.66987795,0.68817437,0.65483326,0.68142116,0.44535133,0.519534,0.49591544,38.003787994384766,1.5967368,4.3930597,2.970349,4.24339,2.9721637,1.5208781,3.1144924,1.8103592
1,1.180789,0.50279534,3.3175015,3.338235,0.3544464,1.7028582,0.5442469,0.66573226,0.6826955,0.64920723,0.67762315,0.38566214,0.4573472,0.45194668,37.24164390563965,1.5346469,4.3619423,2.9564648,4.2218714,2.9350934,1.4793763,3.0432606,1.7979007,1.2315841,0.48784563,3.0628455,3.178986,0.21592164,1.5937835,0.3965833,0.6577664,0.6692272,0.62915224,0.6627827,0.23002982,0.277866,0.33725175,35.02226638793945,1.353346,4.252418,2.9179094,4.1497765,2.8177147,1.3540099,2.7948043,1.7506597
2,1.2176337,0.47747093,2.9596596,3.1179748,0.18315808,1.5586815,0.3460306,0.65417576,0.6684125,0.6253392,0.6600223,0.19307569,0.23363757,0.31335002,34.24362373352051,1.2973315,4.2026176,2.8990808,4.119008,2.7699711,1.3111839,2.703212,1.7325959,1.2638801,0.47401392,2.6485393,2.9488025,0.10483357,1.4612528,0.21270527,0.63833725,0.67138714,0.6085194,0.64982456,0.107160494,0.12807447,0.27271605,32.227203369140625,1.1618931,4.037217,2.8607569,4.026361,2.6257498,1.2093066,2.4392974,1.6765772
3,1.2396955,0.4691109,2.5346315,2.8891287,0.089040756,1.4405596,0.18118227,0.6298666,0.6715269,0.6057762,0.6487014,0.09108255,0.11002455,0.26849288,31.57493782043457,1.1310759,3.9737287,2.8433084,3.9868908,2.5697587,1.1830423,2.3594627,1.6588488,1.2574359,0.48103774,2.2087767,2.736524,0.054339815,1.3886685,0.10887378,0.60364455,0.6670957,0.5867024,0.64225155,0.053160302,0.065719396,0.2727404,29.93149185180664,1.0608305,3.7786176,2.7949066,3.8781035,2.4044895,1.1238345,2.1465921,1.6171453
4,1.228439,0.47790045,2.0996745,2.685244,0.047381535,1.3785772,0.095212415,0.59578526,0.66189325,0.581543,0.6439644,0.046708267,0.05826699,0.27145675,29.365270614624023,1.0342278,3.7034535,2.77634,3.837895,2.3441675,1.1064553,2.0879326,1.6027513,1.2335236,0.4922134,1.8038503,2.561754,0.032373738,1.3502948,0.06719877,0.58040184,0.64531404,0.55979216,0.6413462,0.030346915,0.038721714,0.2835475,27.98201560974121,0.95743686,3.49441,2.711188,3.723748,2.1936061,1.0728787,1.9351742,1.5728976
5,1.2093797,0.4853558,1.7131389,2.5226004,0.029277198,1.3405131,0.06220458,0.5772418,0.6408467,0.55272794,0.63687444,0.027977727,0.035957955,0.28030288,27.49559783935547,0.9242315,3.4224982,2.689365,3.688242,2.142146,1.0594766,1.8971101,1.5581305,1.231141,0.48849982,1.4874353,2.4359975,0.023199312,1.3139956,0.052728858,0.5567467,0.6194973,0.5254963,0.6247891,0.020507326,0.027251339,0.28177947,26.35577964782715,0.8215941,3.225528,2.6245842,3.5913782,2.037223,1.0386661,1.8009737,1.526767
6,1.2097716,0.4790028,1.4218102,2.4058008,0.021507828,1.3082709,0.050711036,0.5481626,0.6104351,0.51738226,0.62321794,0.02005861,0.026751142,0.2772371,25.958691596984863,0.78948206,3.1644478,2.6101785,3.5666652,1.9988778,1.0220921,1.7744191,1.5124092,1.2373878,0.47192016,1.2725135,2.3425958,0.01934973,1.2861577,0.047605786,0.50519466,0.5762364,0.48452845,0.6095476,0.0164961,0.023023281,0.27053028,25.068700790405273,0.70654535,3.0120275,2.5603046,3.4965546,1.9330214,1.003249,1.7102064,1.4837028
7,1.214356,0.46228987,1.2219632,2.316327,0.018716142,1.2863297,0.046952184,0.4904408,0.5611882,0.47612604,0.6075325,0.01679156,0.024002254,0.26272428,24.734978675842285,0.68657434,2.9629014,2.5550733,3.4854538,1.9011374,0.97765005,1.6908185,1.4696288,1.2381742,0.45756686,1.1231227,2.2654061,0.018988324,1.2695218,0.04688176,0.44115594,0.5210214,0.44556603,0.5876954,0.015266986,0.023492277,0.25951153,24.090301513671875,0.6486737,2.8613625,2.5246384,3.4459758,1.8560832,0.94441086,1.6519487,1.4438385
8,1.2136352,0.4500518,1.0852214,2.2421565,0.019175258,1.2733507,0.04663804,0.43040895,0.5098043,0.43836677,0.5848733,0.015864136,0.024658311,0.25531045,23.828384399414062,0.63837576,2.82446,2.5259395,3.441496,1.8249819,0.9183214,1.6346675,1.4306269,1.2288514,0.457955,1.0167329,2.1972365,0.019740997,1.2587628,0.04809849,0.39911333,0.48640403,0.4075513,0.5654012,0.014901582,0.025277413,0.26149076,23.334716796875,0.61336607,2.7554724,2.4979975,3.4135158,1.7823415,0.87823236,1.6048135,1.4014624
9,1.2048113,0.4535675,0.98520076,2.173892,0.019460268,1.2583191,0.0478861,0.3947732,0.47991192,0.40186805,0.5615368,0.015450232,0.025822598,0.2611631,23.094669342041016,0.6021668,2.7207236,2.5002348,3.4103067,1.7521868,0.85341865,1.585015,1.3869543,1.2165047,0.46436068,0.9361091,2.1239922,0.019437807,1.2441256,0.0489893,0.3821315,0.4778324,0.37004554,0.5395911,0.013832461,0.023796791,0.26716027,22.6143798828125,0.569731,2.6612637,2.460137,3.3781092,1.7097119,0.81363356,1.5424187,1.3514664
