epoch,loss,val_loss
0,110971.890625,110728.1484375
1,110652.5078125,110395.5546875
2,110314.8125,110072.9765625
3,109977.140625,109815.65625
4,109629.1953125,109498.7109375
5,109295.0078125,109139.5625
6,108946.03125,108876.1015625
7,108587.8046875,108524.1953125
8,108191.6171875,108151.4375
9,107795.3359375,107793.515625
10,107392.484375,107386.515625
11,106949.3984375,107025.5
12,106501.296875,106561.5234375
13,106002.1640625,106059.453125
14,105504.78125,105573.0859375
15,104937.984375,105107.875
16,104408.59375,104448.7109375
17,103782.5234375,104182.0
18,103175.875,103554.296875
19,102596.359375,103019.6875
20,101926.3046875,102164.09375
21,101144.578125,101695.015625
22,100504.8203125,100924.0
23,99714.984375,100204.171875
24,98864.65625,99695.453125
25,98105.3359375,98994.3125
26,97265.0625,97944.8828125
27,96402.7734375,97441.9453125
28,95525.6640625,96296.6875
29,94562.125,95450.546875
30,93438.03125,94540.4609375
31,92440.046875,93353.4609375
32,91494.4765625,92543.1015625
33,90371.4140625,91735.046875
34,89257.1015625,90957.390625
35,88059.515625,89650.328125
36,86769.375,87799.890625
37,85576.96875,87297.3515625
38,84205.6640625,85566.7265625
39,82881.1171875,85059.71875
40,81585.0234375,83279.0625
41,80058.625,82571.9453125
42,78649.359375,81178.8203125
43,77104.2421875,79724.578125
44,75587.7734375,78414.7421875
45,74105.890625,76458.53125
46,72488.3671875,75154.7109375
47,70572.625,74511.8203125
48,69132.2734375,71529.078125
49,67304.84375,70273.0
50,65692.9453125,69156.625
51,63790.08203125,67035.2265625
52,62425.48046875,65705.21875
53,60472.96484375,64031.109375
54,58800.37890625,62299.953125
55,56730.1328125,60469.8984375
56,54828.9921875,58787.22265625
57,52971.61328125,57720.09375
58,50933.94921875,55282.17578125
59,49320.421875,53518.81640625
60,47015.16796875,52072.33203125
61,45621.5390625,49319.68359375
62,43479.375,47883.390625
63,41849.5703125,46979.93359375
64,39817.69140625,44712.359375
65,38447.02734375,42952.9921875
66,36328.62109375,41181.68359375
67,34696.11328125,40435.23828125
68,33306.390625,38417.2734375
69,31663.583984375,36188.73828125
70,30206.185546875,35090.203125
71,28291.892578125,32624.00390625
72,27129.498046875,31863.0625
73,25845.376953125,30262.091796875
74,24440.9375,28750.22265625
75,23040.033203125,27254.12890625
76,22117.564453125,27506.71484375
77,20882.73828125,25050.44140625
78,19843.09765625,23458.44140625
79,18828.751953125,22833.23828125
80,18148.080078125,21408.865234375
81,17183.275390625,21064.70703125
82,16223.1318359375,20627.787109375
83,16167.869140625,18992.853515625
84,15724.6142578125,18852.099609375
85,15204.693359375,18180.337890625
86,14510.3134765625,17743.611328125
87,14579.88671875,17702.140625
88,13911.0732421875,17076.52734375
89,13944.548828125,16465.19140625
90,13645.6103515625,16675.888671875
91,13342.669921875,17181.357421875
92,13834.818359375,16323.0859375
93,13347.189453125,15276.27734375
94,13204.09765625,14241.1796875
95,12783.322265625,14589.53125
96,12944.0576171875,15323.7333984375
97,13486.3291015625,13987.2119140625
98,13308.150390625,13964.8271484375
99,12986.81640625,14402.05078125
