epoch,loss,val_loss
0,162349.21875,162248.796875
1,162188.75,162136.953125
2,162001.625,162000.40625
3,161843.953125,161806.15625
4,161637.328125,161631.734375
5,161456.96875,161462.828125
6,161258.1875,161282.0
7,161036.578125,161055.578125
8,160837.265625,160889.90625
9,160545.90625,160607.046875
10,160314.25,160403.421875
11,160057.21875,160158.65625
12,159749.5,159897.75
13,159426.984375,159659.046875
14,159138.828125,159355.140625
15,158796.78125,159030.234375
16,158435.875,158816.453125
17,158056.4375,158331.59375
18,157690.390625,157930.0
19,157255.40625,157579.90625
20,156765.140625,157176.546875
21,156303.78125,156794.453125
22,155832.859375,156470.15625
23,155336.375,155738.75
24,154833.5625,155104.015625
25,154180.0625,154803.515625
26,153612.234375,154356.09375
27,152956.625,153737.84375
28,152408.6875,153124.328125
29,151660.375,152122.25
30,150914.40625,151844.375
31,150317.25,151111.59375
32,149442.953125,150390.8125
33,148687.765625,149844.828125
34,147892.671875,149083.9375
35,146980.5625,148298.75
36,145969.375,147219.328125
37,144901.1875,146526.921875
38,143812.59375,145996.796875
39,143061.875,145191.375
40,141905.71875,143530.265625
41,140532.21875,142595.59375
42,139529.046875,141865.0
43,138022.828125,140050.4375
44,136900.4375,139707.90625
45,135763.203125,138157.984375
46,134138.40625,136826.578125
47,132920.515625,136227.046875
48,131375.34375,135009.375
49,129752.75,132861.40625
50,127862.5625,131364.140625
51,126252.0859375,130548.6015625
52,124784.328125,128875.140625
53,123065.5,126969.9453125
54,120827.1015625,126579.125
55,119592.6953125,123953.90625
56,117475.40625,122991.7734375
57,115626.765625,121394.09375
58,113511.375,119204.3828125
59,111376.1015625,117819.2265625
60,109270.828125,114489.46875
61,107133.9140625,113153.7578125
62,104894.84375,109981.0859375
63,102714.5546875,109406.6875
64,100344.890625,107023.09375
65,98133.9921875,105351.2578125
66,95910.15625,103242.96875
67,93574.7421875,100748.609375
68,91764.328125,99391.625
69,89234.1640625,97515.90625
70,86938.609375,95581.2890625
71,84067.3828125,93666.0703125
72,82276.78125,90842.5234375
73,79606.8203125,89226.0546875
74,77437.8359375,87020.9296875
75,75151.171875,84628.6640625
76,72996.546875,83080.7578125
77,70835.1875,79052.65625
78,67237.2890625,76999.0078125
79,65539.2578125,75535.7578125
80,63201.30078125,74705.46875
81,61263.17578125,73089.25
82,59189.39453125,70037.1015625
83,57150.765625,67860.1953125
84,54395.4375,66683.4140625
85,52982.22265625,64413.6171875
86,50683.52734375,63585.50390625
87,49375.5625,59294.0859375
88,46612.4609375,57295.48046875
89,46094.7109375,56643.94921875
90,44875.16796875,55508.828125
91,42738.6015625,54505.4296875
92,41495.90625,51204.703125
93,40726.01953125,50367.48046875
94,39319.30078125,49987.9765625
95,38333.05859375,49261.4296875
96,37323.6328125,46852.85546875
97,36939.015625,45407.66015625
98,34790.5859375,44219.67578125
99,33844.76953125,42996.51171875
