epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.167337,0.5058942,3.5174882,3.5564623,0.67754984,1.773128,0.65569615,0.68773043,0.71773934,0.69977564,0.70531046,0.7082607,0.71554446,0.723856,1.3804105520248413,1.7451982,4.394697,2.95265,4.2990074,3.080052,1.611504,3.25148,1.7979078,1.1143202,0.4076425,3.4016488,3.5465348,0.60215765,1.6623094,0.4746613,0.64828104,0.69566077,0.7011849,0.68534476,0.6049972,0.63679355,0.71379,1.3082385063171387,1.6172398,4.2896533,2.9505851,4.276341,3.026514,1.4868932,3.1101716,1.7852367
1,1.1266943,0.38110822,3.3742917,3.532426,0.5386286,1.6278625,0.4174891,0.63755834,0.6878778,0.70028996,0.6848552,0.5589678,0.59765035,0.6829182,1.288463532924652,1.5620902,4.2372923,2.9460874,4.2605925,3.0045817,1.436528,3.0493963,1.7613612,1.0939257,0.353599,3.2277954,3.4588888,0.35160014,1.5287511,0.26809198,0.6149675,0.667169,0.700116,0.6841646,0.40777174,0.44666377,0.5599058,1.2229681015014648,1.4042437,4.0925946,2.9224193,4.2036014,2.9244974,1.3156952,2.8401997,1.6953024
2,1.1082003,0.35718703,3.145587,3.4242902,0.3080598,1.5028349,0.23827195,0.60374105,0.6597531,0.6964954,0.6842816,0.36773467,0.3922487,0.5136808,1.2098029851913452,1.3584266,4.0467153,2.9052324,4.176049,2.8831396,1.2861644,2.768402,1.6755302,1.0726365,0.3481553,2.8626084,3.3225272,0.20880617,1.4364494,0.16923814,0.574543,0.63469905,0.6812835,0.68210614,0.26906648,0.2531938,0.40652692,1.151489019393921,1.2218596,3.933702,2.847815,4.0926633,2.762495,1.2278631,2.5611324,1.6242079
3,1.0865464,0.33688936,2.7603357,3.2850716,0.18813983,1.4221526,0.15625495,0.5636915,0.6258692,0.6763445,0.6790873,0.24416474,0.22190957,0.3818277,1.1367191672325134,1.1795125,3.8853273,2.8245926,4.0662465,2.7123637,1.2075466,2.4962602,1.6075368,1.0470619,0.3113137,2.427035,3.1600642,0.13660039,1.3724638,0.116811134,0.52749515,0.59456605,0.66521716,0.6743987,0.17336738,0.14443032,0.32752618,1.0769258737564087,1.0488318,3.747837,2.7484,3.9854622,2.5829554,1.1712279,2.3024855,1.5562404
4,1.058355,0.30820346,2.3191485,3.10999,0.123787105,1.3598993,0.108340085,0.5143291,0.5856196,0.66646385,0.673018,0.15462875,0.12704213,0.31272417,1.0640425086021423,1.0110186,3.6811256,2.723958,3.9600315,2.5273545,1.1564332,2.2364385,1.5390792,1.0265901,0.303235,1.9742085,2.9513361,0.09137175,1.3143393,0.08136096,0.47669613,0.54415,0.6585309,0.66873807,0.1070094,0.08465135,0.2862743,1.0120911598205566,0.896516,3.5076585,2.643255,3.8726058,2.3827095,1.133952,2.03792,1.4866127
5,1.0418575,0.30103397,1.8806682,2.8968625,0.083448276,1.3065891,0.07798283,0.4610783,0.53081673,0.65725815,0.6668844,0.0964387,0.07568975,0.27846327,1.0015376806259155,0.8665196,3.436257,2.620954,3.8425274,2.323429,1.1196967,1.9796882,1.4716599,1.0160229,0.29762983,1.59447,2.7361445,0.062932245,1.2717167,0.06318276,0.4260621,0.49033868,0.64206725,0.6651652,0.07027634,0.05366664,0.27471673,0.9572664499282837,0.77343637,3.2641866,2.5466402,3.7394936,2.1944413,1.1051706,1.8167552,1.4220208
6,1.0320941,0.29820955,1.5323038,2.6860878,0.057575673,1.2669172,0.06362406,0.41437808,0.47944665,0.63658583,0.66331995,0.06426406,0.04936439,0.27034917,0.9502141773700714,0.7519585,3.1974125,2.5285878,3.710476,2.1453643,1.0897341,1.7728758,1.4067831,0.9975463,0.3003422,1.3330584,2.5473866,0.044570904,1.2429538,0.054937653,0.38330555,0.44662923,0.6190683,0.66007197,0.048565127,0.038106978,0.2788655,0.9141688346862793,0.68173844,3.0598876,2.469459,3.6040447,2.0619626,1.0767108,1.6568785,1.3630421
7,1.0148349,0.2993399,1.2962687,2.5036266,0.041724898,1.2389098,0.056343675,0.37205487,0.4373346,0.6143149,0.6584836,0.045125067,0.0359587,0.27417505,0.9095816016197205,0.66679037,3.006947,2.459602,3.5777159,2.022169,1.0604558,1.6271384,1.3516289,0.9796505,0.29788664,1.154315,2.4046862,0.03651757,1.2120982,0.051204737,0.33881125,0.4108202,0.5913835,0.6508244,0.03880332,0.03172703,0.2821071,0.878899872303009,0.6075064,2.9185443,2.414393,3.4878423,1.9587102,1.0373007,1.5496713,1.3041098
8,0.9964129,0.29554993,1.1298122,2.3717537,0.03589636,1.2104654,0.053648494,0.32927126,0.40344763,0.5810028,0.64779055,0.03828908,0.03152301,0.27637202,0.8754126131534576,0.5948975,2.8743372,2.4065886,3.4730837,1.9239187,1.0165514,1.5286117,1.2906156,0.9583217,0.29250565,1.0297723,2.2995791,0.035897218,1.1830088,0.051438026,0.2981021,0.38368866,0.5523094,0.63770056,0.038201742,0.031842414,0.27907008,0.8477859497070312,0.54576576,2.8085964,2.3716798,3.404077,1.8640444,0.98033863,1.4759879,1.2426003
9,0.97232634,0.28874558,1.014822,2.2729635,0.036413036,1.1822557,0.055076964,0.2891822,0.3775518,0.53962874,0.63600934,0.039402615,0.032695115,0.27155837,0.8443983793258667,0.537541,2.7677526,2.366939,3.396154,1.8316813,0.9559827,1.4600537,1.2294807,0.9305396,0.28179032,0.9469917,2.2099247,0.038881395,1.1621888,0.05619011,0.26782978,0.3674435,0.50817794,0.62822944,0.04252424,0.03542119,0.27343163,0.8181279897689819,0.5014683,2.7095168,2.3337493,3.3414216,1.7725768,0.91551304,1.4203169,1.1824334
